id,name,Spanish,Portuguese
1,"Flower, Leaf & Stem","Flor, hoja y tallo","Flor, folha e caule"
2,Berries,Bayas,Bagas
3,Wood,Madera,Madeira
4,Rind,Corteza,Casca
5,Cold Pressed,Prensado en frío,Prensado a frio
6,Flowers,Flores,Flores
7,Steam Distilled,Vapor destilado,Destilado a vapor
8,Seeds,Semillas,Sementes
9,Bark,Corteza,Casca
10,Leaves,Hojas,Folhas
11,Buds,Yemas,Brotos
12,Resin,Resina,Resina
13,Whole Plant,Planta completa,Vegetal completo
14,Needles & Branch,Agujas y ramas,Agulhas e bagas
15,Root,Raíz,Raiz
16,Absolute,Absoluto,Absoluto
17,Wood Pulp,Pulpa de madera,Polpa da madeira
18,Fruit,Fruta,Fruta
19,Branches & Leaves,Ramas y hojas,Ramos e folhas
20,Leaves & Tops,Hojas y cola,Folhas e cumes
21,Leaves & Twigs,Hojas y ramitas,Folhas e galhos
22,Needles & Twigs,Agujas y ramitas,Agulhas e galhos
23,Aerial Parts,Piezas aéreas,Partes aéreas
24,Rind of Unripe Fruit,Corteza de fruta verde,Casca da fruta verde
25,Peel,Cáscara,Casca
26,Flower Petals,Pétalos de flores,Pétalas de flor
27,Peppercorn,Pimienta en grano,Grão de pimenta
28,Needles,Acículas,Agulhas
