id,created_at,updated_at,name,Spanish,Portuguese,image_url,color,short_description,description Spanish,description Portuguese,usage_tip,sort_order
1,2018-08-16 15:42:32,2019-06-28 23:09:57,Children,Niños,Crianças,recipes/ea0fc6d362d72c2a51ce62c6ad1d9ca7.jpeg,0,"Children's health involves physical and mental wellbeing. Children have immature immune systems and are often exposed to infection and compromising situations that increase risk for injury. Children are affected by perceived stress and trauma, and can respond with typical or extreme emotions. Parents know their children best, yet often feel poorly equipped with the knowledge and tools they need. Children are particularly responsive to aromas and healthy touch. Aromatic or topical use is comforting to children and can support rapid changes in behavior and responsiveness to difficult situations. While medical care is always advised as needed, there are many situations when natural solutions can be a first line of defense.","La salud de los niños implica bienestar físico y mental. Los niños tienen sistemas inmunológicos poco desarrollados y a menudo están expuestos a infecciones y situaciones comprometedoras que aumentan el riesgo de lesiones. Los niños se ven afectados por el estrés y el trauma percibido, y pueden responder con emociones típicas o extremas. Los padres conocen mejor a sus hijos, pero a menudo se sienten mal equipados con los conocimientos y las herramientas que necesitan. Los niños son particularmente sensibles a los aromas y al tacto saludable. El uso aromático o tópico es reconfortante para los niños y puede apoyar cambios rápidos en el comportamiento y la capacidad de respuesta a situaciones difíciles. Aunque siempre se aconseja la atención médica según sea necesario, hay muchas situaciones en las que las soluciones naturales pueden ser una primera línea de defensa.","A saúde das crianças envolve o bem-estar físico e mental. As crianças têm sistemas imunológicos imaturos e geralmente são expostas a situações de infecções e de comprometimento que aumentam o risco de ferimentos. As crianças são afetadas por estresse e trauma percebidos e podem responder com emoções típicas ou extremadas. Os pais são os que mais conhecem seus filhos. No entanto, eles se sentem mal equipados com o conhecimento e com as ferramentas de que precisam. As crianças são especialmente responsivas a aromas e ao toque saudável. O uso aromático ou tópico é reconfortante para as crianças e podem dar suporte a mudanças rápidas no comportamento e na capacidade de resposta para situações difíceis. Embora o cuidado médico seja sempre aconselhado conforme necessário, há muitas situações em que as soluções naturais podem ser a primeira linha de defesa.","Children are wonderfully responsive to the use of essential oils. They love to learn about them and be involved in the process of selecting what oils are used on their behalf. They love to nurture others with the oils as well and participate in making their own personalized roller bottle blend. Allowing a child to smell an oil prior to use creates a sense of safety. Aromatic: use of oils at bedtime with a diffuser or smelling oils from some kind of sealed container during school can bring both peace and calming, also mental focus and concentration support. Oils supply a vast variety of emotional support. Topical: use of oils with children is most effective when oils are combined with a carrier oil and are massaged on back, abdomen or feet (neat - undiluted - application on feet with 1-2 drops depending on body weight is acceptable in older children; for infants and toddlers, dilute oils with a carrier oil prior to application in most cases).",0
3,2018-08-16 15:42:32,2019-02-08 11:49:54,Pain & Inflammation,Dolor e inflamación,Dor e Inflamação,recipes/458407fb0d2135b1745c76c1bd5d1be9.jpeg,111111,"Inflammation is the body’s biological response to anything the body considers harmful. Healthy inflammation is part of the innate immune system and is necessary for the body to prevent breakdown of body tissues due to pathogens or injury. Pain, closely related to inflammation, can be slight, moderate or severe, and can manifest in a myriad of ways. Chronic pain can lead to loss of ability to work or function in relationships, addiction to pain medications, and feelings of frustration and helplessness.Responding to both inflammation and pain with natural remedies and essential oils can be highly effective, since both these topics involve systematic bodily responses to injury or disease; natural remedies support the body in doing its job.","La inflamación es la respuesta biológica del cuerpo a cualquier cosa que el cuerpo considere dañina. La inflamación saludable es parte del sistema inmunológico innato y es necesaria para que el cuerpo evite la descomposición de los tejidos corporales debido a patógenos o lesiones. El dolor, estrechamente relacionado con la inflamación, puede ser leve, moderado o severo, y puede manifestarse de muchas maneras. Responder tanto a la inflamación como al dolor con remedios naturales y aceites esenciales puede ser altamente efectivo, ya que ambos temas involucran respuestas corporales sistemáticas a lesiones o enfermedades; los remedios naturales ayudan al cuerpo a hacer su trabajo.","A inflamação é a resposta biológica do corpo para qualquer coisa que o corpo considerar prejudicial. Uma inflamação saudável faz parte do sistema imunológico inato e é necessária para que o corpo evite colapso dos tecidos corporais em razão de patógenos ou ferimentos. A dor, intimamente relacionada à inflamação, pode ser leve, moderada ou severa e pode manifestar-se de diversas formas. A dor crônica pode levar à perda da habilidade de funcionar em relações, dependência a medicações par dor, sentimento de frustração e de inutilidade. A resposta à inflamação e à dor com remédios naturais e óleos essenciais pode ser altamente eficiente, uma vez que ambos os tópicos envolvem respostas corporais sistemáticas para ferimento ou doença. os remédios naturais dão apoio ao corpo neste trabalho.","Topical: Very effective for many situations especially when it is more structural; most importantly, apply oils directly to any area of concern remembering to use a carrier oil if necessary to prevent sensitivity. Apply often, every 20-30 minutes, until symptoms subside, then reduce to every two to six hours for acute pain. For chronic pain, apply two to three times daily. Layering is also very effective for using multiple oils at the same time; apply one at a time. Internal: Highly effective for more chronic or internal pain; place oils in a capsule or drop under tongue (hold for 30 seconds; swallow).",0
6,2018-08-17 10:41:29,2019-06-05 13:52:29,Addiction,Adicción,Dependência,recipes/95a93ff9776808f37688303017cf5be7.jpeg,BB2632,"Addiction is a powerful force that can take control over your life. In the past, addiction was thought to be a weakness of character, but research is now proving that addiction is a matter of brain chemistry. Addictions that center on ingested substances (e.g. drugs or alcohol) change body chemistry; addictions to activities or behaviors cause the body to produce extra endorphins and other chemicals that make a person feel good temporarily. Either way, changes in body chemistry create a dependency on the activity or substance. Because they are chemical in nature, essential oils can assist recovering addicts with emotional and chemical support for the brain as they are seeking to get their lives under control again.","La adicción es una fuerza poderosa que puede tomar control sobre su vida. En el pasado, se pensaba que la adicción era una debilidad de carácter, pero la investigación está demostrando ahora que la adicción es una cuestión de química cerebral. Las adicciones que se centran en sustancias ingeridas (por ejemplo, drogas o alcohol) cambian la química del cuerpo; las adicciones a actividades o comportamientos hacen que el cuerpo produzca endorfinas adicionales y otros químicos que hacen que una persona se sienta bien temporalmente. De cualquier manera, los cambios en la química del cuerpo crean una dependencia de la actividad o sustancia. Debido a que son de naturaleza química, los aceites esenciales pueden ayudar a los adictos en recuperación con apoyo emocional y químico para el cerebro en su intento de volver a tener sus vidas bajo control.","A dependência é uma força poderosa que pode assumir o controle da sua vida. No passado, pensava-se que a dependência era um caráter de fraqueza, mas as pesquisas agora mostram que a dependência é uma questão química do cérebro. As dependências que se centram em substâncias ingeridas (p. ex., drogas ou álcool) mudam a química do corpo; as dependências de atividades ou comportamentos fazem com que o corpo produza endorfinas adicionais e outros agentes químicos que fazem com que a pessoa se sinta bem temporariamente. De ambas as formas, as mudanças na química no corpo e criam dependência da atividade ou substância. Uma vez que há agentes químicos na natureza, os óleos essenciais podem auxiliar na recuperação de dependentes com apoio químico e emocional para o cérebro, uma vez que estão buscando assumir novamente o controle de suas vidas.","Aromatic: Choose an oil(s) to diffuse or inhale from a bottle or hands, or whatever method seems most effective at the time. Wear an oil(s) as perfume/cologne.Topical: Apply under nose, behind ears, to base of skull (especially in suboccipitial triangles) and forehead, and on roof of mouth (closest location to the amygdala; place on pad of thumb, then suck on thumb); place oil that is best match to emotional state over heart area. Use a carrier oil as needed for sensitive skin or “hot” oils. Use to prevent and eliminate urges.Internal: For immediate impact, in addition to inhalation, place a drop or two of chosen oil under tongue, hold for 30 seconds, swallow; take oils in capsule or in glass of water. Consider detoxification products/oils or a program.",0
7,2018-08-23 17:22:43,2019-02-08 11:49:54,Cellular Health,Salud celular,Saúde Celular,recipes/8668e41d85492026d4f907b874511b6c.jpeg,111111,"Cells are the smallest units of life for all living organisms, and they have a lifespan consisting of three primary functions. Cells replicate themselves through a process called mitosis. They perform different specialized functions, such as epithelial, sensory, blood, hormone secreting, etc. Apoptosis, their final function, is a pre-programmed, healthy, cellular death. To achieve optimal health, it is important to nourish and support the cells throughout each stage.Essential oils are a powerful addition to any regimen targeting cellular health, because they are actually able to permeate the cell membrane and provide powerful support to the structures found within the cell, including safeguarding against inside threats such as viruses.","Las células son las unidades de vida más pequeñas para todos los organismos vivos, y tienen una duración de vida que consiste en tres funciones primarias. Las células se replican a sí mismas a través de un proceso llamado mitosis. Desempeñan diferentes funciones especializadas, como epiteliales, sensoriales, sanguíneas, de secreción de hormonas, etc. La apoptosis, su función final, es una muerte celular preprogramada y saludable. Para lograr una salud óptima, es importante nutrir y apoyar a las células a lo largo de cada etapa. Los aceites esenciales son una poderosa adición a cualquier régimen dirigido a la salud celular, ya que son realmente capaces de penetrar la membrana celular y proporcionar un poderoso apoyo a las estructuras que se encuentran dentro de la célula, incluyendo la protección contra amenazas internas como los virus.","As células são as menores unidades de vida de todos os organismos vivos e elas têm uma vida útil que consiste em três funções primárias. As células replicam-se por meio de um processo chamado mitose. Elas realizam funções especializadas diferentes, como a função epitelial, sensorial, sanguínea, hormonal, secretora, etc. A apoptose, sua função final, a morte celular saudável e pré-programada. Para ter a saúde ideal, é importante nutrir e apoiar as células ao longo de cada estágio. Os óleos essenciais são uma adição poderosa a qualquer regime que tenha como alvo a saúde celular, porque realmente conseguem permear a membrana da célula e fornecer um apoio poderoso às estruturas encontradas dentro da célula, incluindo a proteção contra ameaças internas, como os vírus.","Topical: Apply oils on bottoms of feet, spine, and/or on any specific area of concern. Use Oil Touch technique regularly as desired or able.Internal: Consume oils in capsules, drop under tongue, or sip in water.",0
8,2018-08-27 16:33:20,2019-06-28 23:21:43,Allergies,Alergias,Alergias,recipes/db7b04d5195102fcbacce21db7de9b8e.jpeg,111111,"Allergic reactions occur when a foreign substance is introduced to the immune system (e.g. bee venom, pollen, or pet dander) and causes an immediate form of hypersensitivity. The severity of allergies varies from person to person and can range from minor irritation to anaphylaxis, which is a severe reaction that can be a life-threatening emergency. Allergy symptoms depend on the substances involved and can impact the airways, sinuses and nasal passages, skin, the digestive system, and other parts of the body. Allergies are typically categorized as either respiratory or systemic (involving multiple organs). Essential oils can help support the body to reduce and overcome acute or chronic hypersensitivity.","Las reacciones alérgicas se producen cuando se introduce una sustancia extraña en el sistema inmunológico (por ejemplo, veneno de abeja, polen o caspa de mascotas) y provocan una forma inmediata de hipersensibilidad. La gravedad de las alergias varía de persona a persona y puede variar desde irritación menor hasta anafilaxia, que es una reacción grave que puede ser una emergencia potencialmente mortal. Los síntomas de la alergia dependen de las sustancias involucradas y pueden afectar las vías respiratorias, los senos paranasales y los conductos nasales, la piel, el sistema digestivo y otras partes del cuerpo. Las alergias suelen clasificarse como respiratorias o sistémicas (que afectan a varios órganos). Los aceites esenciales pueden ayudar al cuerpo a reducir y superar la hipersensibilidad aguda o crónica.","As reações alérgicas ocorrem quando uma substância externa é introduzida no sistema imunológico (p. ex., veneno de abelha, pólen ou pelos de animais de estimação) e geram uma forma imediata de hipersensitividade. A severidade da alergia varia de pessoa para pessoa e pode oscilar de uma pequena irritação a uma anafilaxia, que é uma reação severa que pode ser uma emergência fatal. Os sintomas da alergia dependem das substâncias envolvidas e podem impactar as vias aéreas, os seios e as passagens nasais, a pele, o sistema digestivo e outras partes do corpo. A alergia é tipicamente categorizada como respiratória ou sistêmica (envolvendo vários órgãos). Os óleos essenciais podem ajudar o corpo a reduzir e superar a hipersensitividade aguda ou crônica.","Internal: Take drops of oils in water and drink, take oil(s) in a capsule, or place a drop on or under tongue.Aromatic: Diffuse chosen oils; apply to chest, clothing, bedding, or other to inhale.Topical: Apply oils topically to forehead, cheeks (avoid eyes), chest, bottoms of feet.",0
9,2018-08-27 16:37:20,2019-02-08 11:49:54,Athletes,Atletas,Atletas,recipes/759b5f13220d498aade8705084488557.jpeg,111111,"As athletes push their bodies, the potential for injury is present. Often these are a result of inadequate rest time for muscles/body tissues to rebuild or repair.There are oils known specifically for their ability to support connective tissue, to reduce inflammation, to support cellular regeneration for faster recovery time, and/or to help warm up/cool down muscle groups. Whole foods, essential oils and supplements give cells the support they need to enhance restorative and repairing activities.These are good practices to minimize breakdown and overuse injuries, help provide energy, and increase the body’s capacity to restore tissues to good health quickly.","A medida que los atletas ejercen presión sobre sus cuerpos, existe la posibilidad de que se produzcan lesiones. Hay aceites conocidos específicamente por su capacidad de apoyar el tejido conectivo, reducir la inflamación, apoyar la regeneración celular para un tiempo de recuperación más rápido, y/o ayudar a calentar/enfriar los grupos musculares. Los alimentos integrales, los aceites esenciales y los suplementos brindan a las células el apoyo que necesitan para mejorar las actividades de restauración y reparación, ya que son buenas prácticas para minimizar las lesiones por descomposición y uso excesivo, ayudar a proporcionar energía y aumentar la capacidad de restablecer rápidamente la buena salud de los tejidos.","Quando os atletas forçam seus corpos, há a possibilidade de lesão. Geralmente, são um resultado de tempo de descanso inadequado para recuperação dou restauração dos tecidos musculares/corporais. Há óleos conhecidos especificamente por sua habilidade de apoiar o tecido conjuntivo, de reduzir a inflamação, de dar suporte à regeneração celular para um tempo de recuperação mais rápido e/ou para auxiliar o corpo a aquecer/resfriar o grupo muscular. Os alimentos integrais, os óleos essenciais e os suplementos dão às células o apoio de que precisam para desenvolver as atividades restauradoras e reparadoras. Estas são boas práticas para minimizar a desagregação e ferimentos por utilização excessiva, para fornecer energia e aumentar a capacidade de o corpo restaurar rapidamente os tecidos para uma boa saúde.","Topical: Use oils topically is for muscle/joint pain and injuries.Aromatic: Inhaling certain oils before and during workouts can invigorate, energize, and improve respiration.",0
10,2018-08-27 16:50:33,2019-06-28 23:14:26,Autoimmune,Autoinmune,Autoimune,recipes/faffc45916782efe8008eef0f99ab7be.jpeg,111111,"Autoimmune diseases occur when the body has either an abnormally low immune response to pathogens, or when the body’s immune system fails to distinguish between pathogens and healthy tissue.80% of the immune system is connected to gut health, making it a vital area of focus. Using natural remedies together with a healthy diet can be an effective, non-invasive way to improve gut health. By using a consistent program such as a whole food nutrient supplement, omega complex, and cellular vitality complex, along with food enzymes, a detoxification complex, lemon oil, GI cleansing softgels, and a defensive probiotic, an individual can nourish and support the body in an effort to reclaim health.","Las enfermedades autoinmunes ocurren cuando el cuerpo tiene una respuesta inmune anormalmente baja a los patógenos, o cuando el sistema inmunológico del cuerpo no distingue entre patógenos y tejido sano. El 80% del sistema inmunológico está conectado a la salud intestinal, lo que lo convierte en un área vital de enfoque. El uso de remedios naturales junto con una dieta saludable puede ser una forma efectiva y no invasiva de mejorar la salud intestinal. Mediante el uso de un programa consistente como un suplemento de nutrientes de alimentos enteros, complejo omega y complejo de vitalidad celular, junto con enzimas alimenticias, un complejo de desintoxicación, aceite de limón, cápsulas blandas para la limpieza gastrointestinal y un probiótico defensivo, un individuo puede nutrir y apoyar al cuerpo en un esfuerzo por recuperar la salud.","As doenças autoimunes ocorrem quando o corpo tem uma resposta imune baixa anormal a patógenos ou quando o sistema imunológico do corpo não consegue distinguir os patógenos e o tecido saudável. 80% do sistema imunológico está conectado à saúde intestinal, tornando-a uma área vital de foco. Utilizar remédios naturais junto com uma dieta saudável pode ser uma forma eficiente e não invasiva e melhorar a saúde intestinal. Ao utilizar um programa consistente como o suplemento nutritivo de comida integral, o complexo ômega e o complexo de vitalidade celular, junto com enzimas alimentares, um complexo de desintoxicação, óleo de limão, softgel de limpeza e um probiótico defensivo, um indivíduo pode nutrir e dar suporte ao corpo com um esforço para recuperar a saúde.","Internal: Take oils in a capsule, drop under tongue (hold 30 seconds; swallow).Topical: Use Oil Touch technique at least one to two times monthly; weekly if possible; apply oils on bottoms of feet, rub oils down spine and on any specific area of concern.Aromatic: Diffuse chosen oils",0
11,2018-08-27 16:58:03,2019-06-03 19:58:08,Blood Sugar,Azúcar en la sangre,Açúcar no sangue,recipes/7667b4cc087541e8bdd647501fd609a5.jpeg,111111,"Maintaining proper levels of insulin and glucose is essential for overall health. Imbalances affect a number of body systems including hormones, cardiovascular health, cellular health, and fertiility. One of the benefits of stable blood sugar is the natural reduction of inflammation and the resulting balance of hormones. Essential oils are powerful allies in achieving and maintaining healthy blood sugar and insulin levels, improving insulin receptivity, and resolving a surprising number of related health concerns. Additionally, essential oils support bringing other body systems into balance, which is particularly helpful given the number of diabetes-related disorders. Essential oils positively impact blood sugar management","Mantener los niveles adecuados de insulina y glucosa es esencial para la salud general. Los desequilibrios afectan a varios sistemas del cuerpo, incluyendo las hormonas, la salud cardiovascular, la salud celular y la fertilidad. Uno de los beneficios de un nivel estable de azúcar en la sangre es la reducción natural de la inflamación y el equilibrio hormonal resultante. Los aceites esenciales son aliados poderosos para lograr y mantener niveles saludables de azúcar en sangre e insulina, mejorar la receptividad a la insulina y resolver un sorprendente número de problemas de salud relacionados. Además, los aceites esenciales ayudan a equilibrar otros sistemas corporales, lo que resulta especialmente útil dado el número de trastornos relacionados con la diabetes. Los aceites esenciales tienen un impacto positivo en el control del azúcar en la sangre","Manter níveis adequados de insulina e glicose é essencial para a saúde geral. Os desequilíbrios afetam uma série de sistemas corporais, incluindo os hormônios, a saúde cardiovascular, a saúde celular e a fertilidade. Um dos benefícios do açúcar estável no sangue é a redução natural de inflamação e o equilíbrio dos hormônios resultantes. Os óleos essenciais são poderosos aliados para atingir e manter o açúcar no sangue e os níveis de insulina saudáveis, melhorando a receptividade de insulina e resolvendo um número surpreendente de problemas relacionados à saúde. Além disso, os óleos essenciais ajudam a equilibrar os sistemas do corpo, o que é especialmente útil, dado o número de distúrbios relacionados à diabetes. Os óleos essenciais impactam o gerenciamento de açúcar no sangue de modo positivo","Internal: Take oils in a capsule, drop under tongue (hold 30 seconds; swallow). Topical: Use Oil Touch technique at least one to two times monthly; weekly if possible; apply oils on bottoms of feet, rub oils down spine and on any specific area of concern.Aromatic: Diffuse chosen oils",0
12,2018-08-27 17:01:42,2019-07-15 16:34:02,Brain,Cerebro,Cérebro,recipes/5a3cc44f0c70ccb320fe201c583f2232.jpeg,111111,"The brain is the control center of the body and the most vital organ to everyrday life. It is part of the central nervous system, which directs, coordinates, and regulates voluntary (conscious) and involuntary (unconscious) processes. Essential oils powerfully benefit brain function and processes. When used aromatically, essential oils directly access the brain through the olfactory bulb and are able to initiate almost immediate physical and emotional responses in the brain. Due to their unique chemical constituents and the fact that they are carbon-based, essential oils are able to permeate the protective blood-brain barrier and provide support for such things as headaches, migraines, vertigo or other balance issues, emotions, and mood.","El cerebro es el centro de control del cuerpo y el órgano más vital para la vida cotidiana. Es parte del sistema nervioso central, que dirige, coordina y regula los procesos voluntarios (conscientes) e involuntarios (inconscientes). Los aceites esenciales benefician poderosamente la función y los procesos cerebrales. Cuando se utilizan aromáticamente, los aceites esenciales acceden directamente al cerebro a través del bulbo olfativo y son capaces de iniciar respuestas físicas y emocionales casi inmediatas en el cerebro. Debido a sus componentes químicos únicos y al hecho de que están basados en carbono, los aceites esenciales son capaces de penetrar la barrera hematoencefálica protectora y proporcionar apoyo para cosas tales como dolores de cabeza, migrañas, vértigo u otros problemas de equilibrio, emociones y estado de ánimo.","O cérebro é o centro de controle do corpo e o órgão mais vital para a vida do dia a dia. Ele é parte do sistema nervoso central, que direciona, coordena e regula os processos voluntários (conscientes) e involuntários (inconscientes). Os óleos essenciais beneficiam-se fortemente das funções e processos do cérebro. Quando utilizado aromaticamente, os óleos essenciais acessam diretamente o cérebro através do bulbo olfativo e conseguem ativar quase todas as respostas imediatas físicas e emocionais no cérebro. Devido a seus constituintes químicos únicos e ao fato de que são baseados em carbono, os óleos essenciais conseguem permear a barreira protetora entre o sangue e o cérebro e dar suporte a coisas como dor de cabeça, enxaqueca, vertigem ou outros problemas de equilíbrio, emoções e humor.","Topically: Apply to forehead, back of skull (especially in occipital triangles), under nose, roof of mouth (place oil on pad of thumb, place on roof, “suck”)Use reflex points on foot for brain, namely big toe, underside pad.Aromatically: Diffuse oils of choice to stimulate brain allowing entry through nose to olfactory system.",0
13,2018-08-27 17:22:49,2019-02-25 10:28:03,Candida,Cándida,Cândida,recipes/0ab271551055c4a54ff18532db3663dd.jpeg,111111,"Candida albicans is a type of yeast that grows on the warm interior membranes of the body. The overgrowth of candida can cause detrimental effects throughout the body and occurs when the balance between candida organisms and helpful bacteria in the gastrointestinal tract is disrupted. Resulting conditions can include headaches, autoimmune diseases, allergies, fatigue, digestive disorders, yeast infections, infertility, and addiction. Restoring the body’s bio-terrain to a balanced state can be done very effectively with natural remedies. Essential oils help clear toxins and harmful microorganisms gently and effectively from the gastrointestinal tract, address improved insulin response, and support digestion.","La Candida albicans es un tipo de levadura que crece en las membranas interiores cálidas del cuerpo. El crecimiento excesivo de la cándida puede causar efectos perjudiciales en todo el cuerpo y ocurre cuando se altera el equilibrio entre los organismos de la cándida y las bacterias útiles en el tracto gastrointestinal. Las afecciones resultantes pueden incluir dolores de cabeza, enfermedades autoinmunes, alergias, fatiga, trastornos digestivos, infecciones por levaduras, infertilidad y adicción. Restaurar el bio-terrain del cuerpo a un estado de equilibrio puede ser muy efectivo con remedios naturales. Los aceites esenciales ayudan a eliminar toxinas y microorganismos dañinos del tracto gastrointestinal de manera suave y efectiva, mejoran la respuesta de la insulina y apoyan la digestión.","A Candida albicans é um tipo de levedura que cresce nas membranas internas quentes do corpo. O supercrescimento da candida pode gerar efeitos prejudiciais no corpo e ocorre quando o equilíbrio entre os organismos da candida e as bactérias úteis no trato gastrointestinal é rompido. As condições resultantes podem incluir dores de cabeça, doenças autoimune, alergias, fadiga, distúrbios digestivos, infecções e levedura, infertilidade e adição. A restauração do terreno biológico do corpo para um estado equilibrado pode ser realizada de modo muito eficiente com remédios naturais. Os óleos essenciais ajudam a limpar as toxinas e os microrganismos gentil e efetivamente do trato gastrointestinal, tratam a resposta aprimorada à insulina e dão suporte à digestão.",Choose oils by emotional state. Another method of selecting target oils is to search for oils that most closely relate to both the physical and emotional states that are being experienced and choose from there. There are resources available to discover what oils are related to emotions. Below are a few suggestions that relate candida specifically.,0
