id,created_at,updated_at,name,Spanish,Portuguese,image_url,color,short_description,Spanish description,Portuguese description,is_featured,sort_order,ailment_type
7,2018-08-23 15:54:34,2019-06-06 08:20:18,Abdominal Cramps,Calambres abdominales,Cólicas abdominais,http://placehold.it/200,,Constrictive intermittent abdominal discomfort resulting from the spasm of an internal organ.,"Incomodidad abdominal intermitente de carácter opresivo, que obedece a espasmos en un órgano interno.",Desconforto abdominal intermitente constritivo resultante do espasmo de um órgão interno.,0,0,0
8,2018-08-23 15:54:34,2019-06-06 08:20:18,Abnormal Sperm Morphology,Morfología anormal de los espermatozoides,Morfologia Anormal do Esperma,http://placehold.it/200,,"Sperm with a double tail or no tail; a sperm head that is crooked, has double heads, or is too large.","Un esperma con doble cola o sin ella; la cabeza deformada de un esperma; un esperma con doble cabeza, o que sea demasiado grande.","Espermatozoide com cauda dupla ou sem cauda; uma cabeça de espermatozoide que é torta, tem cabeça dupla ou é muito grande.",0,0,0
9,2018-08-23 15:54:34,2019-06-06 08:20:18,Abscess (tooth),Absceso (diente),Abscesso (dente),http://placehold.it/200,,A contained collection of liquefied tissue known as pus reacting as a defense to foreign material.,"Cantidad de tejido licuado conocido como pus, que reacciona como defensa ante la presencia de material extraño.",Uma bolsa de tecido liquefeito conhecido como pus reagindo como defesa contra agentes externos.,0,0,0
10,2018-08-23 15:54:34,2019-06-06 08:20:18,Absentmindedness,Distracción ausente,Distração,http://placehold.it/200,,Preoccupation so great that the ordinary insistence on attention is avoided.,Preocupación tan grande que se evita la insistencia hacia la atención ordinaria.,Preocupação tão grande que o simples esforço de concentração se torna complexo.,0,0,0
11,2018-08-23 15:54:34,2019-02-12 18:16:29,Abuse Trauma,Trauma por abuso,Trauma de abuso,http://placehold.it/200,,Trauma caused by being intentionally harmed or injured by another person.,El trauma causado por ser dañado o lesionado intencionalmente por otra persona.,Trauma causado por ser intencionalmente prejudicado ou ferido por outra pessoa.,0,0,0
12,2018-08-23 15:54:34,2019-06-06 08:20:18,Ache,Dolencia,Dores,http://placehold.it/200,,Pain identified by persistent and usually limited intensity.,Dolor que se manifiesta continuo y generalmente poco intenso.,Dor identificada por intensidade persistente e geralmente limitada.,0,0,0
13,2018-08-23 15:54:34,2018-12-19 12:37:29,Acid reflux,Reflujo ácido,Refluxo ácido,http://placehold.it/200,,A chronic digestive disease occurring when stomach acid or content flows back into the food pipe irritating the lining of the esophagus.,"Para ayudar a asegurar un buen entrenamiento y disminuir la posibilidad de lesiones, debería implementarse una preparación o estiramiento antes entrenar.","Doença digestiva crônica que ocorre quando o ácido do estômago ou o conteúdo flui de volta para o esôfago, irritando o revestimento do esôfago.",0,0,0
14,2018-08-23 15:54:34,2018-12-19 12:37:29,Acidosis,Acidosis,Acidose,http://placehold.it/200,,Excess acid in the body due to the accumulation of acid or the depletion of alkaline reserves.,El exceso de ácido en el cuerpo debido a la acumulación de ácido o el agotamiento de las reservas alcalinas.,Excesso de ácido no corpo devido ao acúmulo de ácido ou ao esgotamento de reservas alcalinas.,0,0,0
15,2018-08-23 15:54:34,2019-06-12 09:13:59,Acne,Acné,Acne,http://placehold.it/200,,A common skin disease identified by pimples that surface when pores of the skin become clogged.,Afección común de la piel que se manifiesta como espinillas que aparecen cuando los poros de la dermis se obstruyen.,Uma doença de pele comum identificada por espinhas que aparecem quando os poros da pele ficam entupidos.,0,0,0
16,2018-08-23 15:54:34,2018-12-19 12:37:29,Acromegaly,Acromegalia,Acromegalia,http://placehold.it/200,,Excess growth hormone production in the anterior pituitary gland after puberty.,"Producción excesiva de la hormona del crecimiento, que sufre la glándula pituitaria anterior después de la pubertad.",Excesso de produção de hormônio do crescimento na glândula pituitária anterior após a puberdade.,0,0,0
