id,created_at,updated_at,name,Name Portuguese,Name Spanish,body,body Portuguese,body Spanish
10,2018-08-23 17:47:19,2019-02-08 11:49:28,Allergies,Alergias,Alergias,"Blend and apply one drop behind ears, temples, and thymus.","Misture e esfregue uma gota atrás das orelhas, têmporas e da glândula timo.","Mezclar y aplicar una gota detrás de las orejas, a la sien y el timo."
12,2018-08-23 17:51:16,2019-02-08 11:49:28,The Allergy Bomb,A Bomba de Alergia,La bomba de alergia,Combine suggested oils in a capsule and take internally.,Misture os óleos sugeridos em cápsulas e tome-as.,Combinar los aceites sugeridos en una cápsula e ingerir.
13,2018-08-23 20:15:39,2019-02-08 11:49:28,Alcohol Cravings,Desejos de álcool,Antojos de alcohol,Apply copaiba on the tongue when cravings hit. Consume helichrysum twice daily in a capsule or under the tongue.,Aplique o óleo de copaíba na língua quando sentir o desejo se manifestar. Consuma helichrysum duas vezes ao dia por meio de cápsulas ou colocando sob a língua.,Aplicar copaiba en la lengua cuando aparezcan los antojos. Consumir helichrysum dos veces al día en una cápsula o debajo de la lengua.
14,2018-08-23 20:21:23,2019-02-08 11:49:28,Tobacco/Nicotine Cravings,Desejos de tabaco/nicotina,Antojos de tabaco o nicotina,"Diffuse or inhale black pepper to alleviate cravings, or try brushing teeth with one drop On Guard® or cinnamon oil. Combine clove, frankincense, and peppermint oils in palms and inhale, apply to bottom of feet, or drink one drop of the mixture with water.","Ramifique ou inale pimenta-do-reino para reduzir o ímpeto dos desejos ou escove os dentes com uma gota de On Guard® ou óleo de canela Misture os óleos de cravo, olíbano ou hortelã na palma das mãos e inale, aplique nas solas dos pés ou beba uma gota da mistura com água.","Esparcir o inhalar pimienta negra para aliviar los antojos, o intentar cepillarse los dientes con una gota de On Guard® o aceite de canela. Combinar los aceites de clavo de olor, incienso y menta en las palmas e inhalar, aplicar a las plantas de los pies o beber una gota de la mezcla con agua."
15,2018-08-23 20:23:41,2019-02-08 11:49:28,Pornography Addiction,Vício em pornografia,Adicción a la pornografía,"Apply frankincense under tongue once or twice daily. Apply helichrysum or vetiver over lower abdomen at least once daily. Determine which aromas (basil, cardamom, frankincense, grapefruit, helichrysum, cleansing blend, Balance®, or On Guard®) are preferred and apply preventatively as a cologne or perfume and when urges arise.","Aplique olíbano sob a língua uma ou duas vezes diariamente. Aplique helichrysum ou vetiver na parte inferior do abdômen ao menos uma vez diariamente Determine quais aromas (manjericão, cardamomo, olíbano, toranja, helichrysum, mistura de limpeza, Balance®, ou On Guard®) são seus preferidos e aplique-os preventivamente como colônia ou perfume quando o desejo se manifestar.","Aplicar incienso debajo de la lengua una o dos veces al día. Aplicar helichrysum o vetiver sobre la parte inferior del abdomen al menos una vez al día. Determinar qué aromas (albahaca, cardamomo, incienso, pomelo, helichrysum, mezcla limpiadora, Balance® u On Guard®) son los preferidos y aplicarlos de forma preventiva como colonia o perfume y cuando surja la necesidad."
16,2018-08-23 20:38:25,2019-02-08 11:49:28,Inflammation/Pain/Stiffness,Inflamação/Dor/Rigidez,"Inflamación, dolor o rigidez","Combine ingredients in a 10 ml roller bottle, top off with carrier oil, and shake to blend. Rub onto affected area as needed.","Misture os ingredientes em um frasco redonda de 10ml, complemente com óleo veicular e agite para misturar. Esfregue na área afetada, conforme necessário.","Combinar los ingredientes en una botella roll-on de 10 ml, completar con aceite portador y agitar para mezclar. Frotar sobre el área afectada según sea necesario."
17,2018-08-23 20:40:44,2019-02-08 11:49:28,After-Sports Massage or Bath,Massagem ou banho após o esporte,Masaje o baño después de la actividad física,"For a massage, combine suggested oils with 1-2 teaspoons carrier oil and massage on area of concern. For a bath, combine oils with Epsom salts and stir to dissolve before adding to bath water.","Para uma massagem, misture os óleos sugeridos com uma ou duas colheres de chá de óleo veicular e massageie na área afetada. Para o banho, misture óleos com sal de Epsom e agite para dissolver antes de colocar na água.","Para usar en un masaje, combinar los aceites sugeridos con 1-2 cucharaditas de aceite portador y masajear en el área de interés. Para tomar un baño, combinar los aceites con sales de Epsom y revolver para disolver antes de agregar al agua del baño."
18,2018-08-23 20:42:24,2019-02-08 11:49:28,First Aid,Primeiros Socorros,Primeros auxilios,"In a 1-ounce glass bottle, combine suggested oils and shake to blend. Apply 2-3 times per day or as needed to assist the body's natural process of healing.","Misture os óleos sugeridos em um frasco de vidro e os agite para misturar. Aplique de 2 a 3 vezes por dia, ou quantas vezes for necessário para auxiliar o processo natural de cura do organismo.","En una botella de vidrio de 30 ml (1 onza), combinar los aceites sugeridos y agitar para mezclar. Aplicar 2-3 veces al día o según sea necesario para ayudar al proceso natural de sanación del cuerpo."
19,2018-08-23 20:46:48,2019-02-08 11:49:28,Celiac Disease Protocol,Protocolo para doença celíaca,Protocolo de enfermedad celíaca,"Combine suggested oils into a capsule or in 12 ounces of water. Take twice daily for ongoing support. For additional support, rub DigestZen® blend on the stomach (or take 2-4 drops in a capsule) or use 1-2 DigestZen® softgels during digestive discomfort or upset stomach. Diffuse frankincense, Elevation®, or Citrus Bliss® to combat depression or irritability. Take 2-3 TerraZyme® capsules daily. All suggestions above are recommended in addition to using the AromaTouch® technique and Critical Autoimmune Supplementation Daily Program.","Misture os óleos sugeridos em uma cápsula ou em 12 onças de água. Tome duas vezes ao dia para ter um auxílio contínuo. Para auxílio adicional, esfregue a mistura DigestZen® no estômago (ou tome de duas a quatro gotas em uma cápsula) ou use de um a dois softgel DigestZen® quando sentir desconforto digestivo ou dores de estômago. Disperse olíbano, Elevation® ou Citrus Bliss® para combater a depressão ou a ansiedade, Tome de 2 a 3 cápsulas TerraZyme® diariamente. Todas as sugestões acima são recomendadas junto com a técnica AromaTouch® e o programa diário de suplementação autoimune crítica.","Combinar los aceites sugeridos en una cápsula o en 350 ml (12 onzas) de agua. Tomar dos veces al día como asistencia continua. Como apoyo adicional, frotar la mezcla de DigestZen® sobre el estómago (o tomar 2-4 gotas en una cápsula) o usar 1-2 cápsulas blandas de DigestZen® durante molestias digestivas o malestar estomacal. Esparcir incienso, Elevation® o Citrus Bliss® para combatir la depresión o la irritabilidad. Tomar 2-3 cápsulas de TerraZyme® todos los días.. Se recomiendan todas las sugerencias anteriores además de utilizar la técnica AromaTouch® y el Programa diario de suplementos para enfermedades autoinmunitarias críticas."
20,2018-08-23 20:52:23,2019-02-08 11:49:28,Chronic Dry Mouth,Boca seca crônica,Boca seca crónica,"Try oil pulling for a week and see if it helps the salivary glands to kick in. Put suggested mixture in the mouth, swish for twenty minutes, and spit into the sink; repeat daily.","Passe oil pulling durante uma semana e veja se ele ajuda no funcionamento das glândulas salivares. Coloca a mistura sugerida na boca, faça bochecho por vinte minutos e cuspa na pia; repita diariamente.","Intentar aplicar la terapia de aceite de tracción durante una semana y ver si ayuda a que funcionen las glándulas salivales. Colocar la mezcla sugerida en la boca, hacer buches durante veinte minutos y escupir en el fregadero; repetir todos los días."
