id,name,short_description,Spanish,Spanish Desc,Portuguese,Portuguese Desc
1,Cleaning,"Adding essential oils to your DIY cleaning solutions makes your home smell amazing, and gives your cleaning power a boost.",Limpieza,Agregrar aceites esenciales a sus soluciones de limpieza hace que su hogar huela increíble y le da un impuso a su poder de limpieza.,Limpeza,Adicionar óleos essenciais às suas próprias soluções de limpeza deixa sua casa com um perfume incrível e aumenta o poder de limpeza.
2,On the Go,Have all the benefits of essential oils at hand as you are out and about with these on-the-go recipes.,Para llevar,Tenga a la mano todos los beneficios de los aceites esenciales mientras viaja con estas recetas para llevar. ,Portátil,Tenha todos os benefícios dos óleos essenciais à mão quando estiver fora de casa com essas receitas portáteis.
3,Breakfast,Breakfast is the most important meal of the day. What better way to get started than with essential oil-infused recipes.,Desayuno,El desayuno es la comida más importante del día. Qué mejor manera de comenzar que con las recetas con aceites esenciales.,Café da manhã,O café da manhã é a refeicão mais importante do dia. Que maneira melhor de começar o dia do que com receitas com óleos essenciais?
4,Fermented Foods,"Fermented foods deliver healthful probiotics to the digestive tract, increase body alkalinity, and nutritional absorption.",Comidas Fermentadas,"Los alimentos fermentados aportan probióticos saludables al tracto digestivo, aumentan la alcalinidad del cuerpo y la absorcion nutricional.",Alimentos Fermentados,"Alimentos fermentados proporcionam probióticos saudáveis ao trato intestinal, aumentam a alcalinidade corporal e a absorção de nutrientes."
5,Smoothies,"Start with a basic formula for a tasty, essential oil-infused smoothie, and then try these amazing and healthy smoothy recipes.",Batidos,"Comience con una fórmula básica para un batido sabroso, infundido con aceites esenciales, y luego pruebe estas recetas de batidos increíbles y saludables.",Smoothies,"Comece com uma fórmula simples para um saboroso smoothie com óleos essenciais, e então experimente estas receitas de smoothies incriveis e saudáveis."
6,Baby,Making your own baby solutions gives you a gentle and safe option for a fraction of the cost; while replacing commercial products that are usually made with synthetic fragrances and chemicals.,Bebés,Hacer sus propias soluciones para bebés le brinda una opción suave y segura por una fracción del costo; mientras reemplaza los productos comerciales que generalmente están hechos con fragancias sintéticas y productos químicos.,Bebê,"Fazer seus próprios produtos para bebês lhe dá opções seguras e gentis por uma fração do custo, ao substituir produtos comerciais que geralmente são feitos com produtos químicos e fragrâncias sintéticas."
8,Bathroom,"By choosing a few simple ingredients you can clean your bathroom without any harsh chemicals or perfumes, and avoid commercially created products that often are very dangerous and caustic.",Baño,"Al elegir algunos ingredientes simples, puede limpiar su baño sin productos químicos o perfumes fuertes, y evitar productos creados comercialmente que a menudo son muy peligrosos y cáusticos.",Banheiro,"Ao optar por alguns ingredientes simples, você pode limpar o seu banheiro sem nenhuma química ou perfume forte, e evitar produtos comerciais que com frequência são perigosos e cáusticos."
9,Kitchen,"Using essential oil cleaning solutions for your kitchens surfaces, appliances and floors makes your kitchen smell great and eliminates store-bought chemicals.",Cocina,"El uso de soluciones de limpieza con acetes esenciales para las superficies, electrodomésticos y pisos de su cocina hace que su cocina huela muy bien y elimina el uso de los químicos comprados en la tienda",Cozinha,"Utilizar soluções de limpeza com óloes essenciais em sua cozinha nas bancadas, equipamentos e piso, faz com que sua cozinha fique com um perfume incrível e elimina produtos químicos comercializados em lojas."
10,Laundry,Give your clothes the natural scent of essential oils and avoiding harsh chemicals with these laundry recipes.,Lavanderia,Dale a tu ropa el aroma natural de los aceites esenciales y evita los productos químicos agresivos con estas recetas de lavandería.,Lavanderia,Dê às suas roupas o perfume natural de óleos essenciais e evite quimicas pesadas com essas receitas para lavar roupas.
12,Beverages,Use essential oils for added flavor and health benefits for your daily water needs. Use them as a substitute to spice up your favorite beverages.,Bebidas,Use aceites esenciales para agregar sabor y beneficios de salud a sus necesidades diarias de agua. Úselos como un sustituto para condimentar sus bebidas favoritas.,Bebidas ,Use óloes essenciais para dar sabor e benefícios de saúde à água que você bebe diariamente. Use-os como substituto para dar sabor às suas bebidas favoritas.
