id,created_at,updated_at,name,Spanish name,Portuguese name,image_url,color,short_description,recipe_ingredient,body,is_featured,sort_order,user_id,Instructions Spanish,Instructions Portuguese
5,2018-08-16 15:42:32,2019-01-09 20:51:46,Wheat Herb Bread,Pan de trigo con hierbas,Pão de trigo com ervas,recipes/c09a1bddc692814d00984d4078718440.jpeg,111111,"- 2 drops thyme, sage, basil, rosemary, or oregano essential oil 
- 1 1/2 teaspoon honey (to taste) 
- 1 1/3 cups warm water 
- 1 package or 2 1/4 teaspoons active dry yeast - 1 1/2 teaspoon sea salt
- 2-2 1/4 cups bread flour 
- 1 3/4 cups whole wheat flour",,"Choose from any of the following oils to enhance the flavor of this bread: 
Oregano, Thyme, Basil.

Stir together essential oil drops and honey. In a large bowl, combine water, yeast, and honey/essential oil mixture. Let stand for 5 minutes. In a separate bowl, combine salt and flours. Stir flour mixture in gradually to water mixture until flour has been absorbed and the dough forms a ball. In a mixer or by hand, knead dough until it is moderately stiff, smooth, and elastic. Lightly spray a bowl with nonstick spray. Place dough in bowl, cover with a towel or plastic wrap (spray with nonstick spray), and let rise until doubled in size. Remove dough from bowl, and punch down. Let rest for 10 minutes. Spray an 8x4” bread loaf pan with nonstick spray. Shape dough to form a loaf and place in loaf pan. Let rise again until doubled in size, but not much higher than top of loaf pan. Put into a cold oven. Bake in a 350 degrees oven for 25-30 minutes or more until golden on top and sides pull away from pan.",0,0,0,"Elije entre cualquiera de los siguientes aceites para potenciar el sabor de este pan: Orégano, Tomillo, Albahaca. Revuelva las gotas de aceite esencial y la miel. En un tazón grande, combine el agua, la levadura y la mezcla de miel o aceite esencial. Deje reposar durante 5 minutos. En otro tazón, combine la sal y las harinas. Revuelva la mezcla de harina gradualmente a la mezcla de agua hasta que la harina haya sido absorbida y la masa forme una bola. En una batidora o a mano, amase hasta obtener una masa moderadamente rígida, lisa y elástica. Rocíe ligeramente un tazón con spray antiadherente. Coloque la masa en un tazón, cubra con una toalla o con una envoltura de plástico (rocíe con spray antiadherente) y deje que se eleve hasta que se duplique su tamaño. Retire la masa del tazón y golpee hacia abajo. Deje repostar durante 10 minutos. Rocíe una molde para pan de 8x4” con spray antiadherente. Moldee la masa para formar una barra de pan y colóquela en un molde para pan. Deje que se eleve de nuevo hasta duplicar su tamaño, pero no mucho más alto que la parte superior del molde para pan. Colóquelo dentro de un horno frío. Hornee en un horno de 350 grados durante 25 a 30 minutos o más hasta que estén dorados en la parte superior y los lados se alejen despeguen del molde.","Escolha qualquer um dos seguintes óleos para melhorar o sabor deste pão: orégano, tomilho e manjericão. Misture gotas do óleo essencial com mel. Em uma tigela grande, coloque água, fermento e mel/mix do óleo essencial. Deixe descansar por 5 minutos. Em uma tigela separada, misture o sal e as farinhas. Mexa a mistura de farinhas gradualmente com a mistura de água até que a farinha seja absorvida e a massa forme uma bola. Em um mixer ou com a mão, sove a massa até que ela esteja moderadamente firme, lisa e elástica. Unte levemente uma tigela com spray antiaderente. Coloque a massa na tigela, cubra com uma toalha ou filme plástico (unte com spray antiaderente) e deixe descansar até o tamanho dela dobrar. Remova a massa da tigela e bata suavemente em uma superfície. Deixe-a descansar por 10 minutos. Unte uma forma para pão 20x10 cm com spray antiaderente. Modele a massa para formar um pão e coloque na forma. Deixe descansar novamente até dobrar o tamanho, mas não deixe ficar muito mais alta do que o topo da assadeira. Coloque em um forno frio. Asse no forno em 176 graus Celsius por 25-30 minutos até dourar no topo e as laterais desgrudarem da forma."
7,2018-08-29 21:23:08,2019-02-11 11:42:21,Diaper Rash Relief,Alivio de la dermatitis del pañal,Alívio para assaduras,recipes/c79d5a1f7ebe00b7e6d0245e3d937094.jpeg,111111,"- 1/2 cup carrier oil 
- 15 drops melaleuca
- 15 drops lavender
- 15 drops frankincense",,In a small glass spray bottle mix oils together. Spray a thin layer directly onto rash area and reapply as needed.,0,0,0,Mezcle los aceites en una pequeña botella con atomizador de vidrio. Rocíe una capa delgada directamente sobre el área de la erupción y vuelva a aplicarla según sea necesario.,"Em um pequeno borrifador de vidro, misture os óleos. Borrife uma pequena camada diretamente na área da erupção e reaplique conforme necessário."
8,2018-08-29 21:27:30,2019-01-09 01:14:40,Calming Colic Blend,Mezcla para calmar cólicos,Mistura calmante para cólica,recipes/fc8cfcb1d88e79781ed2c551a6978f78.jpeg,111111,"- 3 drops digestion blend
- 2 drops ginger 
- 1 teaspoon carrier oil",,Mix together and massage ointment over baby’s tummy and lower back. Repeat 3 to 5 times daily.,0,0,0,Mezcle y masaje el ungüento en la barriguita del bebé y la parte inferior de la espalda. Repita 3 a 5 veces al día.,Misture e faça uma massagem com a pomada na barriga e lombar do bebê. Repita de 3 a 5 vezes diariamente.
9,2018-08-29 21:36:50,2019-02-08 11:50:13,Cradle Cap Moisturizer,Humectante para la costra láctea,Hidratante crosta láctea,recipes/435aae40fa1e1c69b27c93103c2a0b8e.jpeg,111111,"- 1 tsp carrier oil
- 3 drops lavender",,Mix together in palms and rub on the baby’s scalp. Add cocoa butter if additional softening is needed.,0,0,0,Mezcle en las palmas de las manos y frote el cuero cabelludo del bebé. Agregue la manteca de cacao si se necesita un ablandamiento adicional.,Misture na palma das mãos e esfregue no couro cabeludo do bebê. Adicione manteiga de cacau se for necessário mais suavização.
10,2018-08-30 01:35:44,2019-01-09 19:40:44,Fabric Cleaner,Limpiador de telas,Limpador de tecidos,recipes/747cdaf41990e2eebc73a4b555662af4.jpeg,111111,"- 1/4 cup warm water
- 2 teaspoons castile soap
- 3 drops lime essential oil",,Mix ingredients in a container. Dip cloth in the mixture and dab onto the stain for quick spot treatments on any fabric.,0,0,0,Mezcle los ingredientes en un contenedor. Sumerja el paño en la mezcla y sumerja la mancha para tratamientos rápidos en cualquier tejido.,Misture os ingredientes em um recipiente. Mergulhe o pano na mistura e espalhe na mancha para tratamentos rápidos de mancha em qualquer tecido.
11,2018-08-30 01:41:10,2019-02-11 11:42:21,Carpet Stain Remover,Quitamanchas de alfombras,Removedor de manchas para carpetes,recipes/755b9ff78d42a85314725f0a8484194d.jpeg,111111,"- 4 cups warm water, divided
- 1/2 teaspoon clear castile soap or dish soap
- 10 drops lemon essential oil",,"Mix 2 cups warm water, soap, and essential oil. Soak a rag in the mixture, wring out, and gently blot the stain. Use a clean rag soaked in the remaining 2 cups warm water to remove the residue. Alternate the soap solution with the fresh water until the stain is gone. Remember to blot, not rub, to remove a carpet stain as rubbing will ruin the carpet fibers.",0,0,0,"Mezcle 2 tazas de agua tibia, jabón y aceite esencial. Remoje un trapo en la mezcla, escurra y coloque suavemente sobre la mancha. Use un trapo limpio empapado en las 2 tazas restantes de agua tibia para eliminar el residuo. Alterne la solución de jabón con el agua dulce hasta que la mancha se haya desaparecido. Acuérdese de absorber, no frotar, para quitar una mancha de la alfombra ya que el frotamiento arruinará las fibras de la alfombra.","Misture 2 xícaras de água morna, sabão e óleo essencial. Mergulhe um pano na mistura, torça-o e delicadamente seque a mancha. Use um pano limpo mergulhado nas 2 xícaras restantes de água morna para remover o resíduo. Alterne a solução de sabão com água fresca até a mancha sumir. Lembre-se de secar, não esfregar, para remover a mancha no carpete, já que esfregar irá estragar as fibras do carpete."
12,2018-08-30 01:42:52,2019-01-09 19:44:08,Soap Scum Remover,Removedor de residuos de jabón,Removedor de resíduos de sabão,recipes/37b4a297a6962d7fc9cccb55ae6edb79.jpeg,111111,"- 2 cups hot water
- 1/4-1/3 cup borax 
- 10 drops lemon essential oil",,Add ingredients to a spray bottle and shake well. Spray surfaces and wipe dry. Store in cool place for up to two months.,0,0,0,Agregue los ingredientes a una botella con atomizador y agite bien. Rocíe las superficies y seque. Almacene en un lugar fresco durante un máximo de dos meses.,Adicione ingredientes em um borrifador e agite bem. Borrife nas superfícies e seque-as. Armazene em um local fresco por até dois meses.
13,2018-08-30 01:45:12,2019-01-09 19:47:38,Mold & Mildew Preventer,Preventor de moho y hongos,Prevenção contra mofo e bolor,recipes/42ff5e86f47fea1e54f26887b857fb35.jpeg,111111,"- 2 cups water
- 30 drops melaleuca essential oil 
- 10 drops peppermint essential oil",,Add ingredients to a spray bottle and shake well. Spray directly on mold or mildew. Do not rinse. Repeat daily or weekly as needed.,0,0,0,Agregue los ingredientes a una botella con atomizador y agite bien. Rocíe directamente sobre moho o hongos. No enjuague. Repita diariamente o semanalmente según sea necesario.,"Adicione ingredientes em um borrifador e agite bem. Borrife diretamente no mofo ou bolor. Não enxágue. Repita diaria ou semanalmente, conforme necessário."
14,2018-08-30 01:57:50,2019-01-09 19:49:20,Drain Cleaner,Limpiador de desagües,Limpador de ralos,recipes/a4d31baaac181848706b0b9a8ad856ab.jpeg,111111,"- 1/4 cup baking soda
- 1/4 cup distilled white vinegar
- 3 drops wild orange essential oil",,"Pour essential oil directly down drain, followed by baking soda, and then the vinegar. Allow to sit for fifteen minutes. Pour hot water down the drain, followed by cold water to unclog drains.",0,0,0,"Vierta el aceite esencial directamente por el drenaje, seguido de bicarbonato de sodio, y luego el vinagre. Deje reposar durante quince minutos. Vierta agua caliente por el drenaje, seguido de agua fría para destapar los drenajes.","Despeje o óleo essencial diretamente no ralo, seguido de bicarbonato de sódio e, em seguida, vinagre. Deixe agir por quinze minutos. Despeje água quente no ralo, seguido de água fria para desentupir os ralos."
15,2018-08-30 01:59:24,2019-01-09 19:51:29,Garbage Odor Tablets,Pastillas de olor para la basura,Tabletes para odor de lixo,recipes/b204737476ac7500b69166caf4c788b4.jpeg,111111,"- 2 cups baking soda 
- 1 cup epsom salt
- 1/4 cup water 
- 10 drops lemon essential oil
- 5 drops peppermint essential oil 
- Ice cube tray",,"Combine dry ingredients. Slowly add water, then oils, and stir. Using a spoon, transfer mixture into the ice cube tray without overfilling the tray. Allow to dry overnight or until hardened. Place one to two tablets in the bottom of your garbage can and store the rest in an airtight container. Replace tablets as needed.",0,0,0,"Combine los ingredientes secos. Agregue lentamente agua, luego los aceites y revuelva. Con una cuchara, transfiera la mezcla a la cubetera para hielo sin llenar demasiado la cubetera. Deje que se seque durante la noche o hasta que se endurezca. Coloque de una a dos pastillas en la parte inferior de su basurero y guarde el resto en un recipiente hermético. Reemplace las pastillas según sea necesario.","Junte os ingredientes secos. Adicione água lentamente, seguida pelos óleos e misture tudo. Usando uma colher, transfira a mistura para uma forma de gelos sem transbordar. Deixe secar durante a noite ou até endurecer. Coloque de um a dois tabletes no fundo de sua lata de lixo e armazene o resto em um recipiente vedado. Substitua os tabletes, conforme necessário."
