id,name,Spanish,Portuguese
1,"2 drops thyme, sage, basil, rosemary, or oregano essential oil","2 gotas de aceite esencial de tomillo, salvia, albahaca, romero u orégano","2 gotas de óleo essencial de tomilho, sálvia, manjericão, alecrim ou orégano"
2,1 1/2 teaspoon honey (to taste),1 1/2 cucharadita de miel (a gusto),1 1/2 colher de chá de mel (a gosto)
3,1 1/3 cups warm water,1 1/3 tazas de agua tibia,1 1/3 xícaras de água morna
4,1 package or 2 1/4 teaspoons active dry yeast - 1 1/2 teaspoon sea salt,1 paquete o 2 1/2 cucharaditas de levadura seca activa - 1 1/2 cucharadita de sal marina,1 embalagem ou 2 1/4 colheres de chá de fermento seco ativo - 1 1/2 colher de chá de sal marinho
5,2-2 1/4 cups bread flour,2-2 1/4 tazas de harina para hacer pan,2-2 1/4 xícaras de farinha de pão
6,1 3/4 cups whole wheat flour,1 3/4 tazas de harina integral,1 3/4 xícaras de farinha de trigo integral
7,1/2 cup carrier oil,1/2 taza de aceite portador,1/2 xícara de óleo carreador
8,15 drops melaleuca,15 gotas de melaleuca,15 gotas de tea tree
9,15 drops lavender,15 gotas de lavanda,15 gotas de lavanda
10,15 drops frankincense,15 gotas de incienso,15 gotas de olíbano
11,3 drops digestion blend,3 gotas de mezcla digestiva,3 gotas do mix para digestão
12,2 drops ginger,2 gotas de jengibre,2 gotas de gengibre
13,1 teaspoon carrier oil,1 cucharadita de aceite portador,1 colher de chá de óleo carreador
14,1 tsp carrier oil,1 cucharadita de aceite portador,1 colher de chá de óleo carreador
15,3 drops lavender,3 gotas de lavanda,3 gotas de lavanda
16,1/4 cup warm water,1/4 taza de agua tibia,1/4 xícara de água morna
17,2 teaspoons castile soap,2 cucharaditas de jabón de castilla,2 colheres de chá de sabão castela
18,3 drops lime essential oil,3 gotas de aceite esencial de lima,3 gotas de óleo essencial de limão
19,"4 cups warm water, divided","4 tazas de agua tibia, divididas","4 xícaras de água morna, divididas"
20,1/2 teaspoon clear castile soap or dish soap,1/2 cucharadita de jabón de castilla transparente o detergente para platos,1/2 colher de chá de sabão de castela claro ou detergente
21,10 drops lemon essential oil,10 gotas de aceite esencial de limón,10 gotas de óleo essencial de limão siciliano
