en,es,pt
Cancer & Tumors,Cáncer y tumores,Câncer e Tumores
"Estrogen, Progesterone, & Thyroid Issues","Estrógeno, progesterona, y problemas de tiroides","Estrogênio, Progesterona e Problemas da Tireoide"
Candida & Fungal Issues,Candidiasis y problemas de hongo,Cândida e Problemas Fúngicos
Nerve Damage,Daño en los nervios,Neuropatia Periférica
Autoimmune Disorders,Trastornos autoinmunes,Transtornos Autoimunes
Seizures & Aging Brain,Convulsiones y envejecimiento del cerebro,Convulsões e Envelhecimento Cerebral
Breast Issues,Problemas de senos,Problemas de mama
Hot Flashes & Night Sweats,Bochornos y sudores nocturnos,Ondas de Calor e Suores Noturnos
Detox & Viruses,Desintoxicación y virus,Desintoxicação e Vírus
Inflammation Issues,Problemas de inflamación,Problemas inflamatórios
Discouraged & Unenthused,Desalentado y sin entusiasmo,Desanimado e Desentusiasmado
Tired & Weary,Cansado y agotado,Cansado e Esgotado
Lack or determination & Conviction,Falta de determinación y convicción,Falta de Determinação e Convicção
Afraid & Scared,Con miedo y asustado,Amedrontado e Assustado
Lack of confidence & Motivation,Falta de confianza y motivación,Falta de Confiança e Motivação
Confused & Overwhelmed,Confundido y agobiado,Confuso e Sobrecarregado
"Digestive Upset, Nervous & Agitated","Con malestar digestivo, nervioso y agitado","Estômago Embrulhado, Nervoso e Agitado"
Aches & Pains,Dolores y molestias,Sofrimentos e Dores
"Uncooperative & Obstinate, Out Of Control","Poco cooperativo y obstinado, fuera de control","Não cooperativo e obstinado, fora de controle"
Overstimulated & Overwhelmed,Sobreestimulado y agobiado,Superstimulado e Sobrecarregado
Disconnected From The Earth & Reality,Desconectado de la tierra y la realidad,Desconectado da Terra e Realidade
Focus Issues & Mood Swings,Problemas de enfoque y alteraciones del ánimo,Questões de foco e humor
Restless & Wound Up,Inquieto y alterado,Inquieto/Tenso
"Anger & Frustration, Tantrums","Ira y frustración, berrinches","Raiva e Frustração, birras"
"Grief & Sadness, Disappointment","Pena y tristeza, decepción","Luto e Tristeza, Desapontamento"
Bath & Bedtime Routine,Rutina de baño y sueño,Rotina de banho e hora de dormir
"Unsettled & Restless, Sleep Issues","Inquieto y agitado, problemas de sueño","Agitado e Insone, Problemas de Sono"
Stressed & Anxious,Estresado y ansioso,Estressado e ansioso
"Fussy, Easily Upset & Startled","Quisquilloso, fácil de molestarse y alarmado","Agitado, facilmente chateado e assustado"
"Uptight & Wound Up, Moody","Tenso y alterado, malhumorado","Nervoso e Tenso, Temperamental"
Muscle Aches & Growing Pains,Dolores musculares y dolores crecientes,Dores musculares e dores de crescimento
"Angry, Agitated & Irritable","Enojado, agitado e irritable","Irado, Agitado e Irritável"
