id,created_at,updated_at,name,description,sort_order,solutionable_id,solutionable_type,Spanish,Portuguese
8,8/29/18 22:03,12/6/18 14:05,Grapefruit,"Dissipates cravings; supports detoxification, renewed energy.",0,35,App\Oil,Elimina los antojos; promueve la desintoxicación y la energía renovada.,"Dissipa os desejos compulsivos; auxilia a desintoxicação, energia renovada."
10,8/29/18 22:09,12/6/18 14:05,Basil,Clears negative thought patterns that block change; restores mental energy.,0,11,App\Oil,Elimina los patrones de pensamiento negativo que bloquean el cambio; restaura la energía mental.,Elimina padrões de pensamentos negativos que bloqueiam a mudança; restaura a energia mental.
11,8/29/18 22:09,12/6/18 14:05,Bergamot,Gives a sense of empowerment and self-worth.,0,12,App\Oil,Brinda una sensación de autosuficiencia y autoestima.,Dá sentido de poder e auto-estima.
12,8/29/18 22:10,12/6/18 14:05,Peppermint,"Supports sense of buoyancy and recovery, reprieve from painful emotions.",0,52,App\Oil,"Promueve el sentido de optimismo y recuperación, un descanso de emociones dolorosas.","Auxilia a sensação de flutuabilidade espiritual e recuperação, alívio de emoções dolorosas."
13,8/29/18 22:11,12/6/18 10:01,Serenityå¨,"Promotes calm, peaceful, tranquil state of being; quiets the mind.",0,26,App\Blend,"Promueve un estado de calma, paz y tranquilidad; calma la mente.","Promove um estado de serenidade, calmo, pacífico e tranquilo; acalma a mente."
14,8/29/18 22:12,12/6/18 10:01,Zendocrineå¨,"Promotes elimination, detoxification of toxins.",0,11,App\Blend,Promueve la eliminación y desintoxicación de toxinas.,"Promove a eliminação, a desintoxicação de toxinas."
15,8/29/18 22:12,12/6/18 10:01,Motivateå¨,"Promotes self-belief, confidence, trust.",0,13,App\Blend,"Promueve la confianza en sí mismo, la confianza y fiabilidad","Promove autoconfiança, convicção, esperança."
16,8/29/18 22:13,12/6/18 10:01,Balanceå¨,Restores a sense of solidity/feeling grounded in life.,0,15,App\Blend,Restaura una sensación de solidez o una sensación de tener los pies en la tierra.,Restaura a sensação de solidez/sentindo-se fundamentado na vida
17,8/29/18 22:13,12/6/18 10:01,Purify,Cleanses and detoxifies.,0,9,App\Blend,Limpia y desintoxica.,Limpa e desintoxica
20,8/29/18 22:15,12/6/18 14:05,Lemon,Decongests and reduces mucus.,0,40,App\Oil,Descongestiona y reduce la cantidad de moco.,Descongestiona e reduz o muco
21,8/29/18 22:16,12/6/18 14:05,Peppermint,Discharges phlegm and reduces inflammation.,0,52,App\Oil,Expulsa la flema y reduce la inflamación.,Libera a fleuma e reduz a inflamação.
22,8/29/18 22:16,12/6/18 10:01,Breatheå¨,Supports reduction and recovery from allergic responses.,0,25,App\Blend,Promueve la reducción y recuperación de las reacciones alérgicas.,Auxilia a redução e recuperação de respostas alérgicas.
23,8/29/18 22:17,12/6/18 10:01,Zendocrineå¨,Supports permanent reduction of reactivity.,0,11,App\Blend,Promueve la reducción permanente de la reactividad.,Auxilia a redução permanente de reatividade.
24,8/29/18 22:17,12/6/18 10:01,Purify,Alleviates allergic responses to bites and stings.,0,9,App\Blend,Alivia las reacciones alérgicas a las mordeduras y picaduras.,Alivia as reações alérgicas a mordidas e picadas.
25,8/29/18 22:18,12/6/18 10:01,DigestZenå¨,Supports digestion to calm food allergy responses.,0,12,App\Blend,Fortalece la digestión para calmar las reacciones alérgicas a los alimentos.,Auxilia a digestão para acalmar respostas a alergias alimentares.
26,8/29/18 22:18,12/6/18 10:01,On Guardå¨,Supports immune system.,0,21,App\Blend,Fortalece el sistema inmunológico.,Auxilia o sistema imunológico.
27,8/29/18 22:19,12/6/18 10:01,Serenityå¨,Acts as an antihistamine.,0,26,App\Blend,Actúa como un antihistamínico,Age como um anti-histamínico.
28,8/29/18 22:59,12/6/18 14:05,Peppermint,Pre-exercise support.,0,52,App\Oil,Refuerzo para antes del ejercicio.,Apoio pré-exercício.
29,8/29/18 22:59,12/6/18 14:05,Lemongrass,Connective tissue support.,0,41,App\Oil,Refuerzo del tejido conectivo.,Apoio do tecido conjuntivo.
30,8/29/18 23:00,12/6/18 14:05,Marjoram,Muscle support.,0,44,App\Oil,Refuerzo muscular.,Apoio muscular.
32,8/29/18 23:09,12/6/18 14:05,Lemongrass,Stimulates nerves and supports digestion.,0,41,App\Oil,Estimula los nervios y fortalece la digestión.,Estimula os nervos e auxilia a digestão.
33,8/29/18 23:09,12/6/18 14:05,Juniper Berry,Antioxidant and supports digestion.,0,38,App\Oil,Antioxidante y fortalece la digestión.,Antioxidante e auxilia na digestão.
34,8/29/18 23:10,12/6/18 14:05,Copaiba,"Anti-inflammatory, anti-infectious, pain reliever.",0,25,App\Oil,"Antiinflamatorio, anti-infeccioso, analgésico.","Anti-inflamatório, anti-infeccioso, analgésico"
35,8/29/18 23:10,12/6/18 14:05,Ginger,Invigorates nerves and cleanses.,0,34,App\Oil,Revitaliza los nervios y purifica.,Revigora os nervos e limpa.
36,8/29/18 23:11,12/6/18 14:05,Clary Sage,Invigorates nerves and supports endocrine system.,0,22,App\Oil,Revitaliza los nervios y fortalece el sistema endocrino.,Revigora os nervos e auxilia o sistema endócrino.
37,8/29/18 23:12,12/6/18 14:05,Turmeric,Antioxidant and anti-inflammatory.,0,63,App\Oil,Antioxidante y antiinflamatorio.,Antioxidante e anti-inflamatório.
