id,created_at,updated_at,uses_description,uses_application,sort_order,solutionable_type,solutionable_id,ailment_id,Spanish,Portuguese
1,12/19/18 12:36,2/12/19 16:12,Apply 1-2 drops to the abdomen. Take in a capsule or glass of water.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1},{""name"":""Aromatic"",""active"":false,""position"":2}]",3,App\Oil,34,7,Aplicar 1-2 gotas al abdomen. Ingerir en una cápsula o con un vaso de agua.,Aplique 1-2 gotas no abdômen. Tome em uma cápsula ou um copo de água.
2,12/19/18 12:36,2/12/19 16:12,Apply 1-2 drops to the abdomen. Take in a capsule or glass of water. Inhale or diffuse.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1},{""name"":""Aromatic"",""active"":true,""position"":2}]",1,App\Oil,52,7,Aplicar 1-2 gotas al abdomen. Ingerir en una cápsula o con un vaso de agua. Inhalar o esparcir.,Aplique 1-2 gotas no abdômen. Tome em uma cápsula ou um copo de água. Inspire ou use o difusor.
3,12/19/18 12:36,2/12/19 16:12,Apply 1-2 drops to the abdomen. Take in a capsule or glass of water.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1},{""name"":""Aromatic"",""active"":false,""position"":2}]",2,App\Oil,53,7,Aplicar 1-2 gotas al abdomen. Ingerir en una cápsula o con un vaso de agua.,Aplique 1-2 gotas no abdômen. Tome em uma cápsula ou um copo de água.
4,12/19/18 12:36,2/12/19 16:12,Apply 1-2 drops to the abdomen. Take in a capsule or glass of water.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1},{""name"":""Aromatic"",""active"":false,""position"":2}]",0,App\Blend,12,7,Aplicar 1-2 gotas al abdomen. Ingerir en una cápsula o con un vaso de agua.,Aplique 1-2 gotas no abdômen. Tome em uma cápsula ou um copo de água.
5,12/19/18 12:36,2/12/19 21:19,Apply 1-2 drops to the abdomen.,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Aromatic"",""active"":false,""position"":1},{""name"":""Internal"",""active"":false,""position"":2}]",4,App\Blend,31,7,Aplicar 1-2 gotas al abdomen.,Aplique 1-2 gotas no abdômen.
6,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",2,App\Oil,22,8,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
7,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",1,App\Oil,56,8,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
8,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Internal"",""active"":true,""position"":0},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Aromatic"",""active"":false,""position"":999}]",0,App\Oil,62,8,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
9,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",3,App\Blend,8,8,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
10,12/19/18 12:36,12/19/18 12:36,Take in a capsule or glass of water. Apply 1-2 drops to the area of concern.,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",4,App\Blend,11,8,Ingerir en una cápsula o con un vaso de agua. Aplicar 1-2 gotas al área de interés.,Tome em uma cápsula ou um copo de água. Aplique 1-2 gotas na área de interesse.
