id,name,Spanish,Portuguese
1,Vitamin C,Vitamina C,Vitamina C
2,Vitamin D2 and D3,Vitamina D2 y D3,Vitamina D2 e D3
3,Biotin,Biotina,Biotina
4,"Calcium, Magnesium, Zinc, Copper, Manganese, and Boron ","Calcio, Magnesio, Zinc, Cobre, Manganeso y Boro ","Cálcio, magnésio, zinco, cobre, manganês e boro"
5,Grapefruit,,
6,Lemon,,
7,Peppermint,,
8,Ginger,,
9,Cinnamon,,
10,Wild Orange,,
11,Clove,,
12,Black Pepper,,
13,Cinnamon,,
14,Eucalyptus,,
15,Oregano,,
16,Rosemary,,
17,Melissa,,
18,Frankincense,,
19,Wild Orange,,
20,Lemongrass,,
21,Thyme,,
22,Clove,,
23,Litsea,,
24,Summer Savory oil,Aceite de salmón de verano,Óleo de segurelha
25,Niaouli oil,Aceite de niaulí,Óleo niaouli
26,Boswellia serrata gum resin,Resina de goma Boswellia serrata,Resina Olíbano (Boswellia serrata)
27,Scutellaria Root (baicalin),Raíz de Escutelaria (baicalina),Raiz de Scutellaria (baicalin)
28,Milk Thistle (silymarin),Cardo mariano (silimarina),Cardo Mariano (silimarina)
29,Polygonum cuspidatum (resveratrol),Fallopia japonica (resveratrol),Polygonum cuspidatum (resveratrol)
30,Green Tea Leaf (EGCG),Hoja de té verde (EGCG),Folha de chá verde (EGCG)
31,Pomegranate Fruit extract,Extracto de granada,Extrato de romã
32,Pineapple (bromelain),Piña (bromelina),Abacaxi (bromelaína)
33,Turmeric extract (curcumin),Extracto de cúrcuma (curcumina),Extrato de cúrcuma
34,Grape Seed extract,Extracto de semilla de uva,Extrato de semente de uva
35,Sesame seed extract,Extracto de semillas de sésamo,Extrato de semente de gergelim
36,Pine Bark extract (pycnogenol),Extracto de corteza de pino (picnogenol),Extrato de casca de pinheiro (pycnogenol)
37,Gingko Biloba Leaf,Hoja de ginkgo biloba,Folha de Gingko Biloba
38,Acetyl-L-Carnitine,Acetil-L-Carnitina,Acetil-L-Carnitina
39,Alpha-Lipoic Acid,Ácido Alfa-Lipoico,Ácido alfa-lipóico
40,Coenzyme Q10,Coenzima Q10,Coenzima Q10
41,Quercetin,Quercetina,Quercetina
42,"Vitamins A, C, D3, and full B-complex","Vitaminas A, C, D3 y Complejo B completo","Vitaminas A, C, D3 e complexo B completo"
43,"Calcium, copper, iron, iodine, magnesium, manganese, potassium and zinc","Calcio, cobre, hierro, yodo, magnesio, manganeso, potasio y zinc","Cálcio, cobre, ferro, iodo, magnésio, manganês, potássio e zinco"
44,Superfood Blend,Mezcla de súper alimentos,Mistura de superalimento
45,Cellular Vitality Complex,Complejo de vitalidad celular,Complexo de Vitalidade Celular
46,"L. acidophilus, L. salivarius, L. casei","L. acidophilus, L. salivarius, L. casei","L. acidophilus, L. salivarius, L. casei"
47,"B. lactis, B. bifidum, B. longum","B. lactis, B. bifidum, B. longum","B. lactis, B. bifidum, B. longum"
48,FOS (fructooligosaccharides) prebiotic,Prebiótico FOS (fructooligosacáridos),FOS (frutooligossacarídeos) prebiótico
49,Tangerine,,
50,Rosemary,,
51,Geranium,,
52,Juniper Berry,,
53,Cilantro,,
54,"Barberry leaf, milk thistle seed, burdock root, clove bud","Hoja de bárbara, semilla de cardo lechoso, raíz de bardana, yema de clavo.","Folha de bérberis, semente de cardo-mariano, raiz de bardana, cravo"
55,"Dandelion root, garlic fruit, red clover leaf","Raíz de diente de león, ajo, hoja de trébol rojo","Raiz de dente-de-leão, fruto de alho e folha de trevo vermelho"
56,"Turkish rhubarb stem, burdock root, clove bud, dandelion root","Tallo de ruibarbo turco, raíz de bardana, yema de clavo, raíz de diente de león","Caule de ruibarbo turco, raiz de bardana, cravo, raiz de dente-de-leão"
57,"Psyllium seed husk, turkish rhubarb stem, acacia gum bark, marshmallow root","Cáscara de semilla de psyllium, tallo de ruibarbo turco, corteza de goma de acacia, raíz de malvavisco.","Casca de sementes de psyllium, caule de ruibarbo turco, casca de goma de acácia, raiz de marshmallow"
58,"Osha root, safflower petals","Raíz de Osha, pétalos de cártamo","Raiz de osha, pétalas de cártamo"
59,"Kelp, milk thistle seed, burdock root, clove bud, garlic fruit","Algas, semillas de cardo mariano, raíz de bardana, yema de diente, frutos de ajo.","Algas, semente de cardo-marino, raiz de bardana, broto de cravo, fruto de alho"
60,Enzyme assimilation system of amylase and cellulase,Sistema de asimilación enzimática de amilasa y celulasa,Sistema de assimilação enzimática de amilase e celulase
61,Natural mineral cofactors magnesium and manganese,Cofactores minerales naturales de magnesio y manganeso,Magnésio e manganês de cofatores minerais naturais
62,Ginger,,
63,Peppermint,,
64,Tarragon,Estragón,Estragão
65,Fennel,,
66,Caraway,Alcaravea,Cominho
67,Coriander,,
68,Anise,Anís,Anis
69,Acetyl-L-Carnitine HCL,Acetil-L-Carnitina HCL,Acetil-L-Carnitina HCL
70,Alpha-Lipoic Acid:,Ácido Alfa-Lipoico:,Ácido alfa-lipóico:
71,Coenzyme Q10,Coenzima Q10,Coenzima Q10
72,Lychee Fruit Extract and Green Tea Leaf Polyphenol Extract,Extracto de lichi y extracto de polifenol de hoja de té verde,Extrato de fruta de lichia e extrato de polifenol de folha de chá verde
73,Quercetin dihydrate,Dihidrato de quercetina,Quercetina di-hidratada
74,Cordyceps Mycelium,Micelio de cordyceps,Micélio Cordyceps
75,Ginseng (Panax quinquefolius) root extract,Extracto de raíz de ginseng (panax quinquefolius),Extrato de raiz de Ginseng (Panax quinquefolius)
76,Ashwagandha (withania somnifera) root extract,Extracto de raíz de Ashwagandha (withania somnifera),Extrato de raiz de ashwagandha (withania somnifera)
77,"Water soluble vitamins, B-complex and C","Vitaminas solubles en agua, complejo B y C","Vitaminas solúveis em água, complexo B e C"
78,"Fat soluble vitamins A, E and K","Vitaminas liposolubles A, E y K","Vitamínas lipossolíveis A, E e K"
79,Vitamin D3,Vitamina D3,Vitamina D3
80,"Macro-minerals (calcium, iron, iodine, magnesium, zinc, selenium, copper, manganese and chromium)","Macro-minerales (calcio, hierro, yodo, magnesio, zinc, selenio, cobre, manganeso y cromo)","Macrominerais (cálcio, ferro, iodo, magnésio, zinco, selênio, cobre, manganês e cromo)"
81,Polyphenol Blend,Mezcla de polifenoles,Mistura de polifenol
82,Whole Foods Blend,Mezcla de alimentos integrales,Mistura de nutrientes integrais
