id,created_at,updated_at,name,image_url,color,emotion_1,emotion_2,emotion_3,fact,is_featured,safety_information_id,page_number,sort_order,Spanish Fact,Portuguese Fact,descriptor Spanish 1,descriptor Spanish 2,descriptor Spanish 3,descriptor Portuguese 1,descriptor Portuguese 2,descriptor Portuguese 3
8,2018-08-28 12:23:52,2018-12-05 14:54:48,DDR Prime®,blends/e38edecc80fadeecd218cca80e1f1fd8.jpeg,5CB2D6,Regenerating,Corrective,Repairing,Cellular damage from free radicals is an underlying contributor to many of today’s illnesses. This powerful antioxidant blend will protect your cellular health as it protects your long-term wellness.,0,73,165,0,"El daño celular de los radicales libres es un contribuyente subyacente a muchas de las enfermedades de hoy en día. Esta mezcla poderosa de antioxidantes protegerá su salud celular, ya que protege su bienestar a largo plazo.","O dano celular em razão de radicais livres é um contribuinte de base para muitas doenças de hoje. Esta poderosa mistura antioxidante protegerá a sua saúde celular, protegendo o seu bem-estar no longo prazo.",Regenerar,Corretivo,Reparar,Regenerador,Correctivo,Repadador
9,2018-08-28 12:23:52,2018-12-05 14:54:48,Purify,blends/450ec5aabf978a838acf69758ea84e0b.jpeg,8F8881,Regenerating,Corrective,Repairing,Using synthetic chemicals to clean your home can be counterproductive and potentially hazardous. Add cleansing blend to water for a powerful natural surface cleaner or to bring new life to your smelly washcloths.,0,37,173,0,El uso de productos químicos sintéticos para limpiar su casa puede ser contraproducente y potencialmente peligroso. Agregue una mezcla limpiadora al agua para obtener un poderoso limpiador natural de superficies o para darle nueva vida a sus paños malolientes.,Utilizar produtos químicos sintéticos para limpar a sua casa pode ser contraproducente e potencialmente perigoso. Adicione uma mistura de limpeza à água para obter um limpador de superfície natural poderoso ou para dar vida nova aos seus panos sujos.,Regenerar,Corretivo,Reparar,Regenerador,Correctivo,Repadador
10,2018-08-28 12:23:52,2018-12-05 14:54:48,Console®,blends/964b732f440b99e674554d4338ecd3d0.jpeg,6551A8,Sustaining,Reconciling,Alleviating,"When a ​loss occurs, use this blend to comfort through sadness or grief and move forward in life.",0,37,174,0,"Cuando se produce un äó†loss, utilice esta mezcla para consolar la tristeza o el duelo y seguir adelante en la vida.","Quando ocorrer uma perda, use esta mistura para reconfortar-se na tristeza ou sofrimento e continuar em frente na vida.",Apoiar,Conciliar,Aliviar,Nutritivo,Armonizador,Atenuante
11,2018-08-28 12:23:52,2018-12-05 14:54:48,Zendocrine®,blends/a1af592b9ecfe12d841223dd2f5b4add.jpeg,F28B24,Refreshing,Detoxifying,Clearing,"A regular cleansing regime helps ensure healthy kidney and liver function. Take 1-3 drops in a capsule, juice, or tea during first week of weight loss program.",0,37,175,0,"Un régimen de limpieza regular ayuda a asegurar una función saludable del riñón y del hígado. Tome de 1 a 3 gotas en una cápsula, jugo o té durante la primera semana del programa de pérdida de peso.","Um regime de limpeza regular ajuda a garantir um rim saudável e o funcionamento do fígado. Tome de 1 a 3 gotas em uma cápsula, suco ou chá durante a primeira semana do programa de perda de peso.",Refrescante,Desintoxicar,Desobstruir,Refrescante,Desintoxicante,Purificante
12,2018-08-28 12:23:52,2019-03-08 16:07:43,DigestZen®,blends/2b2803fe626adf00dd2d656f37f0ce62.jpeg,54609E,Supportive,Soothing,Settling,Many essential oils aid digestion. Peppermint is a well-known digestive aid and a primary ingredient in this blend.,0,2,176,0,Muchos aceites esenciales ayudan a la digestión. La menta es una ayuda digestiva bien conocida y un ingrediente primario en esta mezcla.,Muitos óleos essenciais auxiliam na digestão. A hortelã é famosa por auxiliar na digestão e é um ingrediente principal nesta mistura.,Solidário,Calmante,Resoluto,Fortalecedor,Calmante,Calmante
13,2018-08-28 12:23:52,2018-12-05 14:54:48,Motivate®,blends/1d64924278488420cf244da0948d94b4.jpeg,F58320,Motivating,Energizing,Believing,"Squelch the frustration and doubt that can halt progress with this blend’s ability to encourage productivity, creativity, and confidence.",0,37,177,0,"Calmar la frustración y la duda que puede detener el progreso con la capacidad de este blendäó» para fomentar la productividad, la creatividad y la confianza.","Acabe com a frustração e dúvida que pode impedir o avanço com a habilidade de esta mistura incentivar a produtividade, criatividade e confiança.",Motivar,Energizante,Acreditar,Motivante,Energizante,Confiable
14,2018-08-28 12:23:52,2018-12-05 14:54:48,InTune®,blends/75a1802f8ec5b03aa7158cba617f5adc.jpeg,BD6DB2,Grounding,Earthy,Clarifying,Everyone needs extra help to focus from time to time. This blend of essential oils works to enhance mental focus.,0,37,179,0,Todo el mundo necesita ayuda extra para concentrarse de vez en cuando. Esta mezcla de aceites esenciales funciona para mejorar la concentración mental.,Todos precisam de uma ajuda adicional para ter foco de vez em quando. Esta mistura de óleos essenciais funciona para desenvolver o foco mental.,Aterramento,Terroso,Esclarecer,Estabilizador,Leñoso,Purificador
15,2018-08-28 12:23:52,2018-12-05 14:54:48,Balance®,blends/b1fad7379739fc91ab3abc51ae9f62d8.jpeg,43AB7C,Stabilizing,Centering,Sweet,Life’s little surprises and stress can leave us off guard and unbalanced. This blend helps to restore and ground us.,0,2,180,0,Las pequeñas sorpresas y el estrés de la vida nos pueden dejar con la guardia baja y desequilibrados. Esta mezcla ayuda a restaurarnos y consolidarnos.,As pequenas surpresas e estresses da vida podem nos deixar desprevenidos e desequilibrados. Esta mistura ajuda a nos restaurar e nos estabelecer.,Estabilizar,Centralizar,Doce,Estabilizador,Equilibrante,Dulce
16,2018-08-28 12:23:52,2018-12-05 14:54:48,Passion®,blends/1d0996aef0026dc83f1c5a7f8169fe56.jpeg,F0374A,Spontaneous,Enlivening,Daring,This blend can nurture the natural desire to embrace new and exciting experiences in life with passion and courage.,0,25,182,0,Esta mezcla puede nutrir el deseo natural de experimentar nuevas y emocionantes experiencias en la vida con pasión y coraje.,Esta mistura pode nutrir o desejo natural de abraçar experiências novas e empolgantes na vida com paixão e coragem.,Espontâneo,Animar,Ousadia,Natural,Vivficante,Audaz
17,2018-08-28 12:23:52,2018-12-05 14:54:48,Citrus Bliss®,blends/5547918193f4f0fbff8c4302b2848ade.jpeg,F5A200,Citrus,Sweet,Uplifting,"When you pause to uplift and invigorate your senses with this blend of citrus essential oils, you will find increased energy and zest for life.",0,37,183,0,"Cuando usted hace una pausa para elevar y vigorizar sus sentidos con esta mezcla de aceites esenciales de cítricos, encontrará mayor energía y entusiasmo para la vida.","Ao fazer uma pausa para se animar e revigorar os seus sentidos com esta mistura de óleos cítricos essenciais, você irá encontrar mais energia e entusiasmo para a vida.",Cítricos,Doce,Edificante,Cítrico,Dulce,Motivador
