id,created_at,updated_at,name,image_url,color,latin_name,emotion_1,emotion_2,emotion_3,fact,research,is_featured,safety_information_id,page_number,sort_order,emotion_from,emotion_to,fact Spanish,fact Portuguese,descriptor 1 spanish,descriptor 2 spanish,descriptor 3 spanish,descriptor 1 Portuguese,Descriptor 2 Portuguese,Descriptor 3 Portuguese,Spanish From,Spanish To,Portuguese From,Portuguese To
1,2018-08-16 15:42:32,2019-04-03 12:59:46,White Fir,oils/162de7f1992379a3cc9273366fdf7212.jpeg,F8AD19,Abies alba,Stimulating,Clearing,Calming,Used to decorate homes as Christmas trees. Native Americans used this tree to clear respiratory problems.,,0,2,157,5,Blocked,Receiving,Se utiliza para decorar los hogares como árboles de Navidad. Los nativos americanos utilizaban este árbol para curar los problemas respiratorios.,Usado como árvores de Natal para decorar casas. Os nativos americanos usavam essa árvore para eliminar problemas respiratórios.,Estimulante,Purificante,Calmante,Estimular,Desobstruir,Acalmar,Cerrado,Receptor,bloqueado,receptivo
2,2018-08-16 15:42:32,2019-03-01 12:43:48,Litsea,oils/4b1dcb0486cfa2d57e2a64ec517deb03.jpeg,D35654,Litsea cubeba,Cleansing,Refreshing,Uplifting,"Sweeter than lemongrass and without the musty note, more citrusy in its scent than melissa.",,0,2,124,6,Encumbered,Purified,"Más dulce que el lemongrass y sin el toque rancio, más cítrico en su esencia que la melisa.","Mais doce que o capim-limão e sem a nota azeda, mais cítrico em seu aroma que a melissa.",De limpieza,Refrescante,Motivador,Limpeza,Refrescante,Edificante,Abrumado,Purificado,sobrecarregado,purificado
10,2018-08-28 12:29:43,2019-02-28 13:05:24,Arborvitae,oils/6efaa9a1d8df9dc02fc284ad4cfa7691.jpeg,B5832C,Thuja plicata,Woody,Majestic,Strong,Arborvitae trees can live for over 800 years. It’s no surprise that Arborvitae means 'tree of life.',,0,25,79,7,Overzealous,Composed,"Los árboles arborvitae pueden vivir más de 800 años. No es sorprendente que Arborvitae signifique ""árbol de la vida"".","As árvores Tuia podem viver por mais de 800 anos. Não é surpresa que ""Arborvitae"" signifique 'árvore da vida'.",Leñoso,Majestuoso,Fuerte,Amadeirado,Majestoso,Forte,Excesivo,Sereno,excesso de zelo,composto
11,2018-08-28 12:29:43,2019-03-01 12:13:44,Basil,oils/7caa6636f4537895116371d60a9e346a.jpeg,84C449,Ocimum Basilicum,Regenerating,Uplifting,Stimulating,"One of the most universally applicable oils, basil is from the Greek word meaning “king.” Ancient Greeks believed it opened the gateways to heaven.",,0,18,81,8,Inundated,Relieved,"Uno de los aceites que más se aplican universalmente, la albahaca proviene de la palabra griega que significa ""rey"". Los antiguos griegos creían que abría las puertas al cielo.","Um dos óleos mais universalmente aplicáveis, ""basil"" (manjericão) é da palavra grega que significa ""rei"". Gregos antigos acreditavam que ele abriu as portas para o céu.",Regenerador,Motivador,Estimulante,Regenerar,Edificante,Estimular,Inundado,Aliviado,sobrecarregado,aliviado
12,2018-08-28 12:29:43,2019-03-01 12:14:28,Bergamot,oils/d589397cbdca7774160df1747bea5473.jpeg,C6CF23,Citrus bergamia,Uplifting,Assuring,Restoring,Bergamot was used in the first eau de cologne and is used to flavor Earl Grey tea.,,0,19,83,9,Inadequate,Worthy,La bergamota se utilizó en la primera agua de colonia y se usa para saborizar el té Earl Grey.,Bergamota foi usada na primeira água de colônia e é usada para dar sabor ao chá Earl Grey.,Motivador,Tranquilizador,Restaurador,Edificante,Assegurar,Restaurar,,,,
13,2018-08-28 12:29:43,2019-03-01 12:14:48,Birch,oils/91077a43f7501b3dc706213e44acdc15.jpeg,DE4E4A,Betula lenta,Invigorate,Activate,Soothe,Birch is used to make root beer.,,0,20,84,11,Cowardly,Courageous,El abedul se utiliza para elaborar cerveza de raíz.,Bétula é usada para fazer cerveja de raiz.,Vigorizar,Activar,Aliviar,Revigorar,Ativar,Acalmar,Acobardado,Valiente,covarde,corajoso
14,2018-08-28 12:29:43,2019-03-01 12:15:08,Black Pepper,oils/19513d6199af7a92195c242015f66660.jpeg,CFDB2C,Piper nigrum,Spicy,Warming,Circulating,Black pepper shares a similar chemical structure to melissa essential oil.,,1,25,85,10,Repressed,Honest,La pimienta negra comparte una estructura química similar al aceite esencial de melisa.,A Pimenta preta compartilha uma estrutura química semelhante ao óleo essencial de melissa.,Aromático,Cálido,Circulante,Picante,Reconfortar,Circular,Reprimido,Honesto,reprimido,honesto
15,2018-08-28 12:29:43,2019-03-01 12:15:26,Blue Tansy,oils/7ebae4597fff1ff16e9081259a42679f.jpeg,EBA100,Tanacetum annuum,Eliminating,Relieving,Defending,"Tansy comes from the Greek word ""Athanaton"" meaning immortal.",,0,22,86,12,Overwhelmed,Encouraged,"Tanaceto proviene de la palabra griega ""Athanaton"" que significa inmortal.","""Tansy"" (tanaceto) vem da palavra grega ""Athanaton"", que significa imortal.",Eliminador,Atenuante,Defensor,Eliminar,Aliviar,Defender,Abrumado,Animado,saturado,encorajado
16,2018-08-28 12:29:43,2019-03-01 12:15:48,Cardamom,oils/cb22b7952b73c70c2f44278ed89fa4a6.jpeg,00B6B2,Elettaria cardamom,Invigorate,Relax,Cleansing,"Known as the most expensive cooking spice, cardamom is also a close relative of ginger.",,0,2,87,13,Self-centered,Charitable,"El cardamomo, que se conoce como la especia de cocina más costosa, es también pariente cercano del jengibre.","Conhecido como o tempero de cozinha mais caro, o cardamomo também é um parente próximo do gengibre.",Vigorizar,Relajar,De limpieza,Revigorar,Relaxar,Limpeza,Egocéntrico,Caritativo,egocêntrico,caridoso
17,2018-08-28 12:29:43,2019-03-01 12:16:05,Cassia,oils/e77d289abd5bcd99f1235956f972dc42.jpeg,FC8C1E,Cinnamomum cassia,Spicy,Strong,Warming,Make cinnamon sweet candy water by combining 1 drop cassia and 2 drops grapefruit to water.,,0,24,88,14,Uncertain,Bold,Prepare agua endulzada de canela al combinar 1 gota de casia y 2 gotas de pomelo en el agua.,"Faça água doce de canela, combinando 1 gota de cassia e 2 gotas de toranja em água.",Aromático,Fuerte,Cálido,Picante,Forte,Reconfortar,Indeciso,Audaz,incerto,ousado
