id,created_at,updated_at,name,description,useable_name,useable_id,useable_type,sort_order,uses_application,Spanish,Portuguese
32,8/30/18 15:41,10/12/18 17:25,Cancer & Tumors,"Apply 1-2 drops diluted to the back of the neck, along the spine, or bottoms of feet. Take 1-2 drops in a capsule.",Cellular Complex,8,App\Blend,6,"[{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1},{""name"":""Aromatic"",""active"":false,""position"":999}]","Aplique 1 a 2 gotas diluidas en la parte posterior del cuello, a lo largo de la columna o en las plantas de los pies. Aplique 1 a 2 gotas en una cápsula.","Aplique 1-2 gotas diluídas na nuca, ao longo da coluna ou na sola dos pés. Tome 1-2 gotas em uma cápsula."
33,8/30/18 15:41,10/12/18 17:25,"Estrogen, Progesterone, & Thyroid Issues",Take 1-2 drops in a capsule or apply 1-2 drops to the bottoms of feet.,Cellular Complex,8,App\Blend,7,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":1},{""name"":""Internal"",""active"":true,""position"":0}]",Tomar 1-2 gotas en una cápsula o aplicar 1-2 gotas a las plantas de los pies.,Tome 1-2 gotas em uma cápsula ou aplique 1-2 gotas na sola dos pés.
34,8/30/18 15:41,10/12/18 17:25,Candida & Fungal Issues,Apply 1-2 drops to the bottoms of the feet or take 1-2 drops in a capsule.,Cellular Complex,8,App\Blend,8,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]",Aplicar 1-2 gotas a las plantas de los pies o tomar 1-2 gotas en una cápsula.,Aplique 1-2 gotas na sola dos pés ou tome 1-2 gotas em uma cápsula.
35,8/30/18 15:41,10/12/18 17:25,Nerve Damage,"Apply 1-2 drops diluted to the back of the neck, along the spine, or bottoms of the feet. Take 1-2 drops in a capsule.",Cellular Complex,8,App\Blend,9,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]","Aplique 1 a 2 gotas diluidas en la parte posterior del cuello, a lo largo de la columna o en las plantas de los pies. Aplique 1 a 2 gotas en una cápsula.","Aplique 1-2 gotas diluídas na nuca, ao longo da coluna ou nas solas do pé. Tome 1-2 gotas em uma cápsula."
36,8/30/18 15:41,10/12/18 17:25,Autoimmune Disorders,"Apply 1-2 drops diluted to the back of the neck, along the spine, or the bottoms of the feet. Take 1-2 drops in a capsule.",Cellular Complex,8,App\Blend,10,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]","Aplique 1 a 2 gotas diluidas en la parte posterior del cuello, a lo largo de la columna o en las plantas de los pies. Aplique 1 a 2 gotas en una cápsula.","Aplique 1-2 gotas diluídas na nuca, ao longo da coluna ou na sola dos pés. Tome 1-2 gotas em uma cápsula."
37,8/30/18 15:41,10/12/18 17:25,Seizures & Aging Brain,"Apply 1-2 drops diluted to the back of the neck, along the spine, or the bottoms of the feet. Take 1-2 drops in a capsule for antioxidant power.",Cellular Complex,8,App\Blend,12,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]","Aplique 1 a 2 gotas diluidas en la parte posterior del cuello, a lo largo de la columna o en las plantas de los pies. Tome 1 a 2 gotas en una cápsula para obtener energía antioxidante.","Aplique 1-2 gotas diluídas na nuca, ao longo da coluna ou na sola dos pés. Tome 1-2 gotas em uma cápsula para poder antioxidante."
38,8/30/18 15:41,10/12/18 17:25,Breast Issues,"Apply 1-2 drops diluted to the breasts, the bottoms of the feet, or take 1-2 drops in a capsule.",Cellular Complex,8,App\Blend,11,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]","Aplique 1 a 2 gotas diluidas a los senos, las plantas de los pies, o tome 1 a 2 gotas en una cápsula.","Aplique 1-2 gotas diluídas nos seios, na sola dos pés ou tome 1-2 gotas em uma cápsula."
39,8/30/18 15:41,10/12/18 17:25,Hot Flashes & Night Sweats,Apply 1-2 drops to the bottoms of the feet or take 1-2 drops in a capsule.,Cellular Complex,8,App\Blend,13,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]",Aplicar 1-2 gotas a las plantas de los pies o tomar 1-2 gotas en una cápsula.,Aplique 1-2 gotas na sola dos pés ou tome 1-2 gotas em uma cápsula.
40,8/30/18 15:41,10/12/18 17:25,Detox & Viruses,Apply 1-2 drops to the bottoms of the feet or take 1-2 drops in a capsule.,Cellular Complex,8,App\Blend,14,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":true,""position"":1}]",Aplicar 1-2 gotas a las plantas de los pies o tomar 1-2 gotas en una cápsula.,Aplique 1-2 gotas na sola dos pés ou tome 1-2 gotas em uma cápsula.
41,8/30/18 15:41,10/12/18 17:25,Inflammation Issues,Apply 1-2 drops diluted to the area of concern.,Cellular Complex,8,App\Blend,15,"[{""name"":""Aromatic"",""active"":false,""position"":999},{""name"":""Topical"",""active"":true,""position"":0},{""name"":""Internal"",""active"":false,""position"":999}]",Aplique 1 a 2 gotas diluidas en el área de interés.,Aplique 1-2 gotas diluídas na área de interesse.
