id,name,Spanish,Portuguese
1,Insecticidal,Insecticida,Inseticida
2,Sedative,Sedante,Sedativo
3,Anti-tumoral,Antitumoral,Antitumoral
4,Anti-infectious,Antiinfeccioso,Anti-infeccioso
5,Revitalizer,Revitalizador,Revitalizador
9,Emmenagogue,Emmenagogo,Emenagogo
10,Galactagogue,Galactagogo,Galactagogo
11,Neurotonic,Neurotónico,Neurotônico
12,Mucolytic,Mucolítico,Mucolítico
15,Antispasmodic,Antiespasmódico,Antiespasmódico
16,Anticoagulant,Anticoagulante,Anticoagulante
17,Warming,Calentamiento,Reconfortar
18,Steroidal,Esteroides,Esteroidal
19,Stimulant,Estimulante,Estimulante
20,Anti-rheumatic,Antireumático,Antirreumático
23,Antioxidant,Antioxidante,Antioxidante
24,Tonic,Tónico,Tônico
25,Laxative,Laxante,Laxante
26,Deodorant,Desodorante,Desodorante
28,Vermicide,Vermicida,Vermicida
29,Regenerative,Regenerativo,Regenerativo
30,Nervine,Nervio,Nervino
31,Analgesic,Analgésico,Analgésico
32,Anaphrodisiac,Anafrodisíaco,Anafrodisíaco
33,Anti-allergenic,Antialérgico,Antialérgico
34,Antiarthritic,Antiartrítico,Antiartrítico
35,Antibacterial,Antibacteriano,Antibacteriano
36,Anticarcinogenic,Anticancerígeno,Anticarcinogênico
37,Anti-carcinoma,Anti-carcinoma,Anticarcinoma
38,Anticatarrhal,Anticatarral,Anticatarral
39,Anticonvulsant,Anticonvulsivo,Anticonvulsivo
40,Antidepressant,Antidepresivo,Antidepressivo
41,Antiemetic,Antiemético,Antiemético
42,Antifungal,Antifúngico,Antifúngico
43,Antihemorrhagic,Antihemorrágico,Anti-hemorrágico
44,Antihistamine,Antihistamínico,Anti-histamínico
45,Anti-inflammatory,Antiinflamatorio,Anti-inflamatório
46,Antimicrobial,Antimicrobiano,Antimicrobiano
47,Antimutagenic,Antimutagénico,Antimutagênico
48,Anti-parasitic,Antiparasitario,Antiparasitário
49,Antiseptic,Antiséptico,Antisséptico
50,Antitoxic,Antitóxico,Antitóxico
51,Antiviral,Antiviral,Antiviral
53,Aphrodisiac,Afrodisíaco,Afrodisíaco
54,Astringent,Astringente,Adstringente
55,Calming,Calmante,Acalmar
56,Cardiotonic,Cardiotónico,Cardiotônico
57,Carminative,Carminativo,Carminativo
58,Cleanser,Limpiador,Limpador
59,Cytophylactic,Citofiláctico,Citofilático
60,Decongestant,Descongestionante,Descongestionante
61,Detoxifier,Desintoxicante,Desintoxicante
62,Digestive stimulant,Estimulante digestivo,Estimulante digestivo
63,Disinfectant,Desinfectante,Desinfetante
64,Diuretic,Diurético,Diurético
65,Energizing,Energizando,Energizante
66,Expectorant,Expectorante,Expectorante
67,Grounding,Calmante,Aterramento
68,Hypertensive,Hipertensivo,Hipertensivo
69,Hypotensive,Hipotenso,Hipotensor
70,Immunostimulant,Inmunoestimulante,Imunoestimulante
71,Insect repellent,Repelente de insectos,Repelente de insetos
72,Invigorating,Tonificante,Revigorante
73,Neuroprotective,Neuroprotector,Neuroprotetor
74,Neurotonic,Neurotónico,Neurotônico
75,Purifier,Purificador,Purificador
76,Refreshing,Refrescante,Refrescante
77,Relaxant,Relajante,Relaxante
78,Restorative,Restaurativo,Restaurador
79,Rubefacient,Rubefaciente,Rubefaciente
80,Stomachic,Estomacal,Estomacal
81,Uplifting,Elevación,Edificante
82,Vasoconstrictor,Vasoconstrictor,Vasoconstritor
83,Vasodilator,Vasodilatador,Vasodilatador
84,Vermifuge,Vermífugo,Vermífugo
85,Anti-histamine,Antihistamínico,Anti-histamínico
86,Linalool,Linalool,Linalool
87,a-terpineol,a-terpineol,a-terpineol
88,Linalyl acetate,Linalyl acetate,Linalyl acetate
89,b-ocimene,b-ocimene,b-ocimene
97,Camphene,Camphene,Camphene
98,b-pinene,b-pinene,b-pinene
99,l-limonene,l-limonene,l-limonene
100,Methyl thujate,Methyl thujate,Methyl thujate
101,Hinokitiol,Hinokitiol,Hinokitiol
102,Thujic acid,Thujic acid,Thujic acid
104,Methylchavicol,Methylchavicol,Methylchavicol
105,Eugenol,Eugenol,Eugenol
106,Limonene,Limonene,Limonene
107,Linalyl formate,Linalyl formate,Linalyl formate
108,Methyl salicylate,Methyl salicylate,Methyl salicylate
109,Betulene,Betulene,Betulene
110,Butulinol,Butulinol,Butulinol
111,Caryophyllene,Caryophyllene,Caryophyllene
113,Carene,Carene,Carene
114,Sabinene,Sabinene,Sabinene
115,Chamazulene,Chamazulene,Chamazulene
116,Terpinyl acetate,Terpinyl acetate,Terpinyl acetate
117,"1,8-cineole","1,8-cineole","1,8-cineole"
118,Cinnamaldehyde,Cinnamaldehyde,Cinnamaldehyde
120,Chavicol,Chavicol,Chavicol
121,Alpha cedrene,Alpha cedrene,Alpha cedrene
122,Cedrol,Cedrol,Cedrol
123,Decenal,Decenal,Decenal
124,Dodecenal,Dodecenal,Dodecenal
125,Phenol,Phenol,Phenol
126,Beta-caryophyllene,Beta-caryophyllene,Beta-caryophyllene
127,Terpenes,Terpenes,Terpenes
128,Alpha-pinene,Alpha-pinene,Alpha-pinene
131,Monoterpenes,Monoterpenes,Monoterpenes
132,D-limonene,D-limonene,D-limonene
134,Beta-pinene,Beta-pinene,Beta-pinene
135,3-carvene,3-carvene,3-carvene
136,Eucalyptol,Eucalyptol,Eucalyptol
137,Alpha-terpineol,Alpha-terpineol,Alpha-terpineol
138,Benzene,Benzene,Benzene
139,Anethole,Anethole,Anethole
140,a-phellandrenes,a-phellandrenes,a-phellandrenes
141,a-thujene,a-thujene,a-thujene
142,Citronellol,Citronellol,Citronellol
143,Geraniol,Geraniol,Geraniol
144,Alpha-zingiberene,Alpha-zingiberene,Alpha-zingiberene
145,Myrcene,Myrcene,Myrcene
146,y-Terpinene,y-Terpinene,y-Terpinene
147,Neryl acetate,Neryl acetate,Neryl acetate
148,Italidione,Italidione,Italidione
149,y-curcumene,y-curcumene,y-curcumene
151,Benzyl acetate,Benzyl acetate,Benzyl acetate
152,Benzyl benzoate,Benzyl benzoate,Benzyl benzoate
153,phytol,phytol,phytol
155,b-ocimene,b-ocimene,b-ocimene
156,Geranial,Geranial,Geranial
157,Neral,Neral,Neral
159,Farnesol,Farnesol,Farnesol
160,Gamma terpinene,Gamma terpinene,Gamma terpinene
161,Leptospermone,Leptospermone,Leptospermone
162,E-calamenene,E-calamenene,E-calamenene
163,Cadina-3,Cadina-3,Cadina-3
164,5-diene,5-diene,5-diene
165,Terpinen-4-ol,Terpinen-4-ol,Terpinen-4-ol
167,y-terpinenes,y-terpinenes,y-terpinenes
168,p-cymene,p-cymene,p-cymene
169,Germacrene,Germacrene,Germacrene
170,B-caryophyllene,B-caryophyllene,B-caryophyllene
171,Furanoedudesma,Furanoedudesma,Furanoedudesma
172,"1,3-diene","1,3-diene","1,3-diene"
173,Curzerene,Curzerene,Curzerene
174,Carvacrol,Carvacrol,Carvacrol
175,Menthol,Menthol,Menthol
176,Menthone,Menthone,Menthone
177,a-pinene,a-pinene,a-pinene
178,Menthyl acetate,Menthyl acetate,Menthyl acetate
179,Cirronellol,Cirronellol,Cirronellol
180,a-santalol,a-santalol,a-santalol
181,b-santalol,b-santalol,b-santalol
182,a-santalene,a-santalene,a-santalene
183,b-santalene,b-santalene,b-santalene
184,Bornyl acetate,Bornyl acetate,Bornyl acetate
185,Beta-myrcene,Beta-myrcene,Beta-myrcene
186,Jatamansone,Jatamansone,Jatamansone
187,Thymol,Thymol,Thymol
188,ar-turmerone,ar-turmerone,ar-turmerone
189,Turmerone,Turmerone,Turmerone
190,Alpha-vetivones,Alpha-vetivones,Alpha-vetivones
191,Beta-vetivones,Beta-vetivones,Beta-vetivones
192,Isovalencenol,Isovalencenol,Isovalencenol
193,Terpinolene,Terpinolene,Terpinolene
194,a-farnesene,a-farnesene,a-farnesene
