id,created_at,updated_at,name,Spanish name,Portuguese name,image_url,color,short_description,is_featured,sort_order,ailment_type
650,2019-03-15 09:51:30,2019-03-15 09:51:30,Abandoned,Dejado,Abandonado,NULL,,NULL,0,1,1
651,2019-03-15 09:51:30,2019-03-15 15:29:26,Abdominal Cramping/Spasms,Calambres/espasmos abdominales,Cólicas abdominais/espasmos,NULL,,NULL,0,2,1
652,2019-03-15 09:51:30,2019-03-15 15:29:26,Abdominal Cramps/Pain,Calambres abdominales/dolor abdominal,Cólicas abdominais/dor,NULL,,NULL,0,3,1
653,2019-03-15 09:51:30,2019-03-15 15:29:26,Abdominal Pain,Dolor abdominal,Dor abdominal,NULL,,NULL,0,4,1
654,2019-03-15 09:51:30,2019-03-15 15:29:26,Abdominal Pain,Dolor abdominal,Dor abdominal,NULL,,NULL,0,5,1
655,2019-03-15 09:51:31,2019-03-15 15:29:26,Abdominal Pain,Dolor abdominal,Dor abdominal,NULL,,NULL,0,6,1
656,2019-03-15 09:51:31,2019-03-31 03:44:05,"Abdominal Pain, Lower Or Side/Back","Dolor abdominal, bajo o lateral/trasero","Dor Abdominal, Inferior ou Lateral/Costas",NULL,,NULL,0,7,1
657,2019-03-15 09:51:31,2019-03-31 03:44:33,"Abdominal Pain, Upper/Mid","Dolor abdominal, superior/medio","Dor abdominal, superior/médio",NULL,,NULL,0,8,1
658,2019-03-15 09:51:31,2019-03-15 15:29:26,Abnormal Cellular Activity,Actividad celular anormal,Atividade celular anormal,NULL,,NULL,0,9,1
659,2019-03-15 09:51:31,2019-03-20 23:38:59,"Abuse, Healing From","Abuso, recuperación de","Abuso, Cura de",NULL,,NULL,0,10,1
660,2019-03-15 09:51:31,2019-03-15 15:29:26,"Abuse, History Of, Healing From","Abuso, antecedentes de, recuperación de","Abuso, História De, Cura De",NULL,,NULL,0,11,1
661,2019-03-15 09:51:31,2019-03-15 15:29:26,Accelerated Aging,Envejecimiento acelerado,Envelhecimento Acelerado,NULL,,NULL,0,12,1
662,2019-03-15 09:51:31,2019-03-15 15:29:26,"Accountability, Lack Of","Responsabilidad, falta de","Responsabilidade, falta de",NULL,,NULL,0,13,1
663,2019-03-15 09:51:31,2019-03-15 15:29:26,Aching Pain In/Around Ear,Dolor en/alrededor de la oreja,Dor de/em torno da orelha,NULL,,NULL,0,14,1
664,2019-03-15 09:51:31,2019-03-15 15:29:26,Acid Reflux/Regurgitation,Reflujo ácido/regurgitación,Refluxo ácido/Regurgitação,NULL,,NULL,0,15,1
665,2019-03-15 09:51:31,2019-03-15 15:29:26,"Acidic, Overly","Ácido, demasiado","Ácido, excessivamente",NULL,,NULL,0,16,1
666,2019-03-15 09:51:32,2019-03-15 15:29:26,"Acne, Baby","Acné, bebé","Acne, bebê",NULL,,NULL,0,17,1
